"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -4.43446556525E-002, +0.00000000000E+000
+2.50625000000E+008, -4.37853658369E-002, +0.00000000000E+000
+2.51250000000E+008, -4.36116728051E-002, +0.00000000000E+000
+2.51875000000E+008, -4.42958619994E-002, +0.00000000000E+000
+2.52500000000E+008, -4.43193723727E-002, +0.00000000000E+000
+2.53125000000E+008, -4.64741103583E-002, +0.00000000000E+000
+2.53750000000E+008, -4.65462960898E-002, +0.00000000000E+000
+2.54375000000E+008, -4.49461363479E-002, +0.00000000000E+000
+2.55000000000E+008, -4.42516880104E-002, +0.00000000000E+000
+2.55625000000E+008, -4.40985616749E-002, +0.00000000000E+000
+2.56250000000E+008, -4.58395419588E-002, +0.00000000000E+000
+2.56875000000E+008, -4.70170483400E-002, +0.00000000000E+000
+2.57500000000E+008, -4.67917774622E-002, +0.00000000000E+000
+2.58125000000E+008, -4.78087573004E-002, +0.00000000000E+000
+2.58750000000E+008, -4.55891838657E-002, +0.00000000000E+000
+2.59375000000E+008, -4.76309833906E-002, +0.00000000000E+000
+2.60000000000E+008, -4.67478092759E-002, +0.00000000000E+000
+2.60625000000E+008, -4.68967357347E-002, +0.00000000000E+000
+2.61250000000E+008, -4.67529920967E-002, +0.00000000000E+000
+2.61875000000E+008, -4.63684374436E-002, +0.00000000000E+000
+2.62500000000E+008, -4.78569641327E-002, +0.00000000000E+000
+2.63125000000E+008, -4.93753581403E-002, +0.00000000000E+000
+2.63750000000E+008, -4.74753587933E-002, +0.00000000000E+000
+2.64375000000E+008, -4.67708744618E-002, +0.00000000000E+000
+2.65000000000E+008, -4.68282456985E-002, +0.00000000000E+000
+2.65625000000E+008, -4.64752191993E-002, +0.00000000000E+000
+2.66250000000E+008, -4.80434066114E-002, +0.00000000000E+000
+2.66875000000E+008, -4.91427371321E-002, +0.00000000000E+000
+2.67500000000E+008, -4.81927378095E-002, +0.00000000000E+000
+2.68125000000E+008, -4.93413877458E-002, +0.00000000000E+000
+2.68750000000E+008, -4.81554933722E-002, +0.00000000000E+000
+2.69375000000E+008, -4.93002997007E-002, +0.00000000000E+000
+2.70000000000E+008, -4.80460178644E-002, +0.00000000000E+000
+2.70625000000E+008, -4.89979196098E-002, +0.00000000000E+000
+2.71250000000E+008, -4.80893955779E-002, +0.00000000000E+000
+2.71875000000E+008, -4.88018600905E-002, +0.00000000000E+000
+2.72500000000E+008, -5.03575516134E-002, +0.00000000000E+000
+2.73125000000E+008, -4.82527785166E-002, +0.00000000000E+000
+2.73750000000E+008, -5.06785924580E-002, +0.00000000000E+000
+2.74375000000E+008, -5.01254975690E-002, +0.00000000000E+000
+2.75000000000E+008, -5.15349114987E-002, +0.00000000000E+000
+2.75625000000E+008, -4.89647568108E-002, +0.00000000000E+000
+2.76250000000E+008, -4.97690784504E-002, +0.00000000000E+000
+2.76875000000E+008, -4.79615172847E-002, +0.00000000000E+000
+2.77500000000E+008, -4.98767210480E-002, +0.00000000000E+000
+2.78125000000E+008, -5.08649742545E-002, +0.00000000000E+000
+2.78750000000E+008, -5.12730999261E-002, +0.00000000000E+000
+2.79375000000E+008, -5.01034714648E-002, +0.00000000000E+000
+2.80000000000E+008, -5.22656685362E-002, +0.00000000000E+000
+2.80625000000E+008, -5.24389800541E-002, +0.00000000000E+000
+2.81250000000E+008, -5.06169346148E-002, +0.00000000000E+000
+2.81875000000E+008, -4.96087014703E-002, +0.00000000000E+000
+2.82500000000E+008, -5.04586526264E-002, +0.00000000000E+000
+2.83125000000E+008, -5.33066352492E-002, +0.00000000000E+000
+2.83750000000E+008, -5.10421639128E-002, +0.00000000000E+000
+2.84375000000E+008, -4.92598375339E-002, +0.00000000000E+000
+2.85000000000E+008, -5.14391297119E-002, +0.00000000000E+000
+2.85625000000E+008, -5.11401174445E-002, +0.00000000000E+000
+2.86250000000E+008, -5.05015752170E-002, +0.00000000000E+000
