"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -8.63458365358E+001, +0.00000000000E+000
+2.50625000000E+008, -8.44363878695E+001, +0.00000000000E+000
+2.51250000000E+008, -8.53548603625E+001, +0.00000000000E+000
+2.51875000000E+008, -9.41848578531E+001, +0.00000000000E+000
+2.52500000000E+008, -8.36905284787E+001, +0.00000000000E+000
+2.53125000000E+008, -8.10379218839E+001, +0.00000000000E+000
+2.53750000000E+008, -7.97122112788E+001, +0.00000000000E+000
+2.54375000000E+008, -7.54063040738E+001, +0.00000000000E+000
+2.55000000000E+008, -7.90225666963E+001, +0.00000000000E+000
+2.55625000000E+008, -7.60802442266E+001, +0.00000000000E+000
+2.56250000000E+008, -7.22283163642E+001, +0.00000000000E+000
+2.56875000000E+008, -7.35559106362E+001, +0.00000000000E+000
+2.57500000000E+008, -7.61516720097E+001, +0.00000000000E+000
+2.58125000000E+008, -7.29008896343E+001, +0.00000000000E+000
+2.58750000000E+008, -7.23357521857E+001, +0.00000000000E+000
+2.59375000000E+008, -7.25489423384E+001, +0.00000000000E+000
+2.60000000000E+008, -7.24229313585E+001, +0.00000000000E+000
+2.60625000000E+008, -7.23316092286E+001, +0.00000000000E+000
+2.61250000000E+008, -7.15474623190E+001, +0.00000000000E+000
+2.61875000000E+008, -7.22499845153E+001, +0.00000000000E+000
+2.62500000000E+008, -7.19376068570E+001, +0.00000000000E+000
+2.63125000000E+008, -6.95905381653E+001, +0.00000000000E+000
+2.63750000000E+008, -7.20058527938E+001, +0.00000000000E+000
+2.64375000000E+008, -7.01000730556E+001, +0.00000000000E+000
+2.65000000000E+008, -6.84789863898E+001, +0.00000000000E+000
+2.65625000000E+008, -6.85085382926E+001, +0.00000000000E+000
+2.66250000000E+008, -6.98633827750E+001, +0.00000000000E+000
+2.66875000000E+008, -6.89694605282E+001, +0.00000000000E+000
+2.67500000000E+008, -6.84171962139E+001, +0.00000000000E+000
+2.68125000000E+008, -6.69173644689E+001, +0.00000000000E+000
+2.68750000000E+008, -7.05705481529E+001, +0.00000000000E+000
+2.69375000000E+008, -6.93217189783E+001, +0.00000000000E+000
+2.70000000000E+008, -7.01072818566E+001, +0.00000000000E+000
+2.70625000000E+008, -6.76777113556E+001, +0.00000000000E+000
