"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, +1.47837580716E-003, +0.00000000000E+000
+2.50625000000E+008, +1.70837051710E-003, +0.00000000000E+000
+2.51250000000E+008, +1.03639276034E-003, +0.00000000000E+000
+2.51875000000E+008, +1.25804987803E-003, +0.00000000000E+000
+2.52500000000E+008, +2.95755175171E-003, +0.00000000000E+000
+2.53125000000E+008, +2.07427926904E-003, +0.00000000000E+000
+2.53750000000E+008, +3.82890547150E-003, +0.00000000000E+000
+2.54375000000E+008, +2.84621374364E-003, +0.00000000000E+000
+2.55000000000E+008, +2.33039089028E-003, +0.00000000000E+000
+2.55625000000E+008, +3.43030100730E-003, +0.00000000000E+000
+2.56250000000E+008, +3.25784970616E-003, +0.00000000000E+000
+2.56875000000E+008, +1.87506490774E-003, +0.00000000000E+000
+2.57500000000E+008, +4.23514371411E-004, +0.00000000000E+000
+2.58125000000E+008, +2.90586769400E-003, +0.00000000000E+000
+2.58750000000E+008, +1.83599121400E-003, +0.00000000000E+000
+2.59375000000E+008, +1.56715824932E-003, +0.00000000000E+000
+2.60000000000E+008, +3.05611792912E-003, +0.00000000000E+000
+2.60625000000E+008, +3.97597399007E-003, +0.00000000000E+000
+2.61250000000E+008, +2.08615484787E-003, +0.00000000000E+000
+2.61875000000E+008, +1.90613936478E-003, +0.00000000000E+000
+2.62500000000E+008, +3.45437073756E-003, +0.00000000000E+000
+2.63125000000E+008, +3.12284012844E-003, +0.00000000000E+000
+2.63750000000E+008, +2.64971315043E-003, +0.00000000000E+000
+2.64375000000E+008, +1.92648229499E-003, +0.00000000000E+000
+2.65000000000E+008, +2.97581551787E-003, +0.00000000000E+000
+2.65625000000E+008, +1.58099267453E-003, +0.00000000000E+000
+2.66250000000E+008, +7.96560082418E-004, +0.00000000000E+000
+2.66875000000E+008, +9.71529026582E-004, +0.00000000000E+000
+2.67500000000E+008, +5.73769248317E-003, +0.00000000000E+000
+2.68125000000E+008, +2.54971543181E-003, +0.00000000000E+000
+2.68750000000E+008, +1.15000555831E-003, +0.00000000000E+000
+2.69375000000E+008, +2.68425447346E-003, +0.00000000000E+000
+2.70000000000E+008, +2.56558192103E-003, +0.00000000000E+000
+2.70625000000E+008, +1.26243319451E-003, +0.00000000000E+000
+2.71250000000E+008, +1.70833737322E-003, +0.00000000000E+000
+2.71875000000E+008, +1.57261369676E-003, +0.00000000000E+000
+2.72500000000E+008, +1.39662189896E-003, +0.00000000000E+000
+2.73125000000E+008, +9.30350612638E-004, +0.00000000000E+000
+2.73750000000E+008, +1.03257693754E-003, +0.00000000000E+000
+2.74375000000E+008, -6.62322245596E-004, +0.00000000000E+000
+2.75000000000E+008, +4.90235240483E-004, +0.00000000000E+000
+2.75625000000E+008, +3.41677760887E-003, +0.00000000000E+000
+2.76250000000E+008, +1.28421691480E-003, +0.00000000000E+000
+2.76875000000E+008, +1.24905739150E-003, +0.00000000000E+000
+2.77500000000E+008, +2.19461694171E-003, +0.00000000000E+000
+2.78125000000E+008, +2.96429047430E-003, +0.00000000000E+000
+2.78750000000E+008, +3.24290150868E-003, +0.00000000000E+000
+2.79375000000E+008, +2.08602638513E-003, +0.00000000000E+000
+2.80000000000E+008, +1.47363107650E-003, +0.00000000000E+000
+2.80625000000E+008, +1.15618948584E-003, +0.00000000000E+000
+2.81250000000E+008, +2.76528385186E-003, +0.00000000000E+000
+2.81875000000E+008, +3.43874886980E-003, +0.00000000000E+000
+2.82500000000E+008, -3.95098814127E-004, +0.00000000000E+000
+2.83125000000E+008, -2.36504897625E-004, +0.00000000000E+000
+2.83750000000E+008, +1.13404666153E-003, +0.00000000000E+000
+2.84375000000E+008, +2.02552677155E-003, +0.00000000000E+000
+2.85000000000E+008, +7.06945505987E-004, +0.00000000000E+000
+2.85625000000E+008, +3.24454789427E-004, +0.00000000000E+000
+2.86250000000E+008, +5.60433963018E-004, +0.00000000000E+000
+2.86875000000E+008, -1.31412696804E-003, +0.00000000000E+000
+2.87500000000E+008, +1.90748206991E-003, +0.00000000000E+000
+2.88125000000E+008, +2.52996466512E-004, +0.00000000000E+000
+2.88750000000E+008, -1.99798071390E-003, +0.00000000000E+000
+2.89375000000E+008, -5.02048122506E-004, +0.00000000000E+000
+2.90000000000E+008, -1.43178010690E-003, +0.00000000000E+000
+2.90625000000E+008, -7.71607178076E-005, +0.00000000000E+000
+2.91250000000E+008, +3.30676594956E-004, +0.00000000000E+000
+2.91875000000E+008, -1.16868023603E-003, +0.00000000000E+000
+2.92500000000E+008, -3.95079476838E-004, +0.00000000000E+000
+2.93125000000E+008, +8.62083114801E-004, +0.00000000000E+000
+2.93750000000E+008, -8.20144693585E-004, +0.00000000000E+000
+2.94375000000E+008, -3.57242608541E-003, +0.00000000000E+000
+2.95000000000E+008, -1.15849351819E-003, +0.00000000000E+000
+2.95625000000E+008, -9.58092483055E-004, +0.00000000000E+000
+2.96250000000E+008, -9.69297781464E-004, +0.00000000000E+000
+2.96875000000E+008, -1.68727457935E-003, +0.00000000000E+000
+2.97500000000E+008, -3.18006413137E-003, +0.00000000000E+000
+2.98125000000E+008, -1.80328976438E-003, +0.00000000000E+000
+2.98750000000E+008, +6.65972080557E-004, +0.00000000000E+000
+2.99375000000E+008, -1.45462877346E-003, +0.00000000000E+000
+3.00000000000E+008, -4.43243011910E-004, +0.00000000000E+000
+3.00625000000E+008, -2.41011376343E-003, +0.00000000000E+000
+3.01250000000E+008, -1.62787838492E-003, +0.00000000000E+000
+3.01875000000E+008, -1.09418176749E-003, +0.00000000000E+000
+3.02500000000E+008, -2.81040848235E-004, +0.00000000000E+000
+3.03125000000E+008, -3.39026446802E-003, +0.00000000000E+000
+3.03750000000E+008, -1.01593364643E-003, +0.00000000000E+000
+3.04375000000E+008, -3.46318608540E-003, +0.00000000000E+000
+3.05000000000E+008, -1.99932219969E-003, +0.00000000000E+000
+3.05625000000E+008, -3.49423525103E-003, +0.00000000000E+000
+3.06250000000E+008, -4.28872691771E-003, +0.00000000000E+000
+3.06875000000E+008, -3.53040408047E-003, +0.00000000000E+000
+3.07500000000E+008, -2.33188205673E-003, +0.00000000000E+000
+3.08125000000E+008, -3.56001146804E-003, +0.00000000000E+000
+3.08750000000E+008, -2.56264950864E-003, +0.00000000000E+000
+3.09375000000E+008, -5.50870256955E-003, +0.00000000000E+000
+3.10000000000E+008, -3.61981574691E-003, +0.00000000000E+000
+3.10625000000E+008, -3.08087845920E-003, +0.00000000000E+000
+3.11250000000E+008, -3.42051187751E-003, +0.00000000000E+000
+3.11875000000E+008, -4.60963046524E-003, +0.00000000000E+000
+3.12500000000E+008, -5.21002772553E-003, +0.00000000000E+000
+3.13125000000E+008, -3.56411254787E-003, +0.00000000000E+000
+3.13750000000E+008, -1.34645955995E-003, +0.00000000000E+000
+3.14375000000E+008, -3.89713534202E-003, +0.00000000000E+000
+3.15000000000E+008, -5.84807267223E-003, +0.00000000000E+000
+3.15625000000E+008, -5.03478059560E-003, +0.00000000000E+000
+3.16250000000E+008, -4.32194747463E-003, +0.00000000000E+000
+3.16875000000E+008, -3.01063656373E-003, +0.00000000000E+000
+3.17500000000E+008, -3.95745974718E-003, +0.00000000000E+000
+3.18125000000E+008, -5.82546452390E-003, +0.00000000000E+000
+3.18750000000E+008, -4.48907428105E-003, +0.00000000000E+000
+3.19375000000E+008, -3.09109350716E-003, +0.00000000000E+000
+3.20000000000E+008, -5.77921478130E-003, +0.00000000000E+000
+3.20625000000E+008, -3.61580398338E-003, +0.00000000000E+000
+3.21250000000E+008, -4.46089794198E-003, +0.00000000000E+000
+3.21875000000E+008, -4.36902304075E-003, +0.00000000000E+000
+3.22500000000E+008, -4.16807272937E-003, +0.00000000000E+000
+3.23125000000E+008, -3.57605961292E-003, +0.00000000000E+000
+3.23750000000E+008, -5.92405110058E-003, +0.00000000000E+000
+3.24375000000E+008, -4.44457609774E-003, +0.00000000000E+000
+3.25000000000E+008, -4.50631732317E-003, +0.00000000000E+000
+3.25625000000E+008, -4.07515519114E-003, +0.00000000000E+000
+3.26250000000E+008, -5.50626778577E-003, +0.00000000000E+000
+3.26875000000E+008, -7.47929900431E-003, +0.00000000000E+000
+3.27500000000E+008, -4.72617838478E-003, +0.00000000000E+000
+3.28125000000E+008, -5.86930960995E-003, +0.00000000000E+000
+3.28750000000E+008, -5.42704749783E-003, +0.00000000000E+000
+3.29375000000E+008, -6.89780969939E-003, +0.00000000000E+000
+3.30000000000E+008, -7.55931317117E-003, +0.00000000000E+000
+3.30625000000E+008, -5.46450923135E-003, +0.00000000000E+000
+3.31250000000E+008, -5.18306718864E-003, +0.00000000000E+000
+3.31875000000E+008, -2.11817289155E-003, +0.00000000000E+000
+3.32500000000E+008, -7.69443196115E-003, +0.00000000000E+000
+3.33125000000E+008, -5.31985882696E-003, +0.00000000000E+000
+3.33750000000E+008, -4.24905305171E-003, +0.00000000000E+000
+3.34375000000E+008, -5.09687579288E-003, +0.00000000000E+000
+3.35000000000E+008, -7.80876023832E-003, +0.00000000000E+000
+3.35625000000E+008, -7.68918542527E-003, +0.00000000000E+000
+3.36250000000E+008, -5.15568611343E-003, +0.00000000000E+000
+3.36875000000E+008, -3.13948931476E-003, +0.00000000000E+000
+3.37500000000E+008, -3.70591335484E-003, +0.00000000000E+000
+3.38125000000E+008, -4.92709608155E-003, +0.00000000000E+000
+3.38750000000E+008, -4.39070924406E-003, +0.00000000000E+000
+3.39375000000E+008, -4.23355046818E-003, +0.00000000000E+000
+3.40000000000E+008, -5.02409041647E-003, +0.00000000000E+000
+3.40625000000E+008, -4.44672137344E-003, +0.00000000000E+000
+3.41250000000E+008, -6.79223431865E-003, +0.00000000000E+000
+3.41875000000E+008, -6.48310991619E-003, +0.00000000000E+000
+3.42500000000E+008, -4.76637440314E-003, +0.00000000000E+000
+3.43125000000E+008, -3.88671935036E-003, +0.00000000000E+000
+3.43750000000E+008, -6.11034376549E-003, +0.00000000000E+000
+3.44375000000E+008, -5.71662909637E-003, +0.00000000000E+000
+3.45000000000E+008, -4.52513700421E-003, +0.00000000000E+000
+3.45625000000E+008, -2.89898285681E-003, +0.00000000000E+000
+3.46250000000E+008, -3.62871483206E-003, +0.00000000000E+000
+3.46875000000E+008, -5.15998486967E-003, +0.00000000000E+000
+3.47500000000E+008, -5.48751593672E-003, +0.00000000000E+000
+3.48125000000E+008, -3.41138683704E-003, +0.00000000000E+000
+3.48750000000E+008, -2.58203352973E-003, +0.00000000000E+000
+3.49375000000E+008, -1.56169642429E-003, +0.00000000000E+000
+3.50000000000E+008, -5.77566817627E-003, +0.00000000000E+000
+3.50625000000E+008, -4.12881127785E-003, +0.00000000000E+000
+3.51250000000E+008, -4.12066778999E-003, +0.00000000000E+000
+3.51875000000E+008, -5.46224530180E-003, +0.00000000000E+000
+3.52500000000E+008, -3.96764255197E-003, +0.00000000000E+000
+3.53125000000E+008, -5.51258141157E-003, +0.00000000000E+000
+3.53750000000E+008, -3.72228209963E-003, +0.00000000000E+000
+3.54375000000E+008, -5.82465964884E-003, +0.00000000000E+000
+3.55000000000E+008, -2.56986832565E-003, +0.00000000000E+000
+3.55625000000E+008, -5.67605427440E-003, +0.00000000000E+000
+3.56250000000E+008, -7.37695700980E-003, +0.00000000000E+000
+3.56875000000E+008, -2.69450753562E-003, +0.00000000000E+000
+3.57500000000E+008, -4.12503746101E-003, +0.00000000000E+000
+3.58125000000E+008, -2.76440300489E-003, +0.00000000000E+000
+3.58750000000E+008, -6.90251320311E-003, +0.00000000000E+000
+3.59375000000E+008, -5.43713817071E-004, +0.00000000000E+000
+3.60000000000E+008, +1.96670266596E-004, +0.00000000000E+000
+3.60625000000E+008, +8.75497068106E-004, +0.00000000000E+000
+3.61250000000E+008, +3.32961490702E-004, +0.00000000000E+000
+3.61875000000E+008, -4.29176421945E-004, +0.00000000000E+000
+3.62500000000E+008, +1.91741834708E-003, +0.00000000000E+000
+3.63125000000E+008, +1.41356159614E-003, +0.00000000000E+000
+3.63750000000E+008, +1.47655483428E-003, +0.00000000000E+000
+3.64375000000E+008, -6.60457640585E-004, +0.00000000000E+000
+3.65000000000E+008, +2.91882353582E-004, +0.00000000000E+000
+3.65625000000E+008, +1.37427900249E-003, +0.00000000000E+000
+3.66250000000E+008, +7.96581081786E-004, +0.00000000000E+000
+3.66875000000E+008, -1.69138149490E-003, +0.00000000000E+000
+3.67500000000E+008, -1.94612928930E-003, +0.00000000000E+000
