"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, +4.12316969261E-003, +0.00000000000E+000
+2.50625000000E+008, +1.83079302060E-003, +0.00000000000E+000
+2.51250000000E+008, +1.01892320765E-003, +0.00000000000E+000
+2.51875000000E+008, +3.89440614170E-003, +0.00000000000E+000
+2.52500000000E+008, +3.97946502313E-003, +0.00000000000E+000
+2.53125000000E+008, +1.58312521777E-003, +0.00000000000E+000
+2.53750000000E+008, +3.93868371694E-004, +0.00000000000E+000
+2.54375000000E+008, +2.60395736893E-003, +0.00000000000E+000
+2.55000000000E+008, +5.43876760429E-003, +0.00000000000E+000
+2.55625000000E+008, +4.13947015345E-003, +0.00000000000E+000
+2.56250000000E+008, +1.31987859894E-003, +0.00000000000E+000
+2.56875000000E+008, +8.55147083964E-004, +0.00000000000E+000
+2.57500000000E+008, +5.12292383623E-003, +0.00000000000E+000
+2.58125000000E+008, +2.32664264956E-003, +0.00000000000E+000
+2.58750000000E+008, +1.20734769965E-003, +0.00000000000E+000
+2.59375000000E+008, -1.59168368373E-004, +0.00000000000E+000
+2.60000000000E+008, +8.89089306767E-004, +0.00000000000E+000
+2.60625000000E+008, +3.02986645617E-003, +0.00000000000E+000
+2.61250000000E+008, +3.92521830694E-003, +0.00000000000E+000
+2.61875000000E+008, +2.27971073128E-003, +0.00000000000E+000
+2.62500000000E+008, +1.51130093396E-003, +0.00000000000E+000
+2.63125000000E+008, +1.52902774867E-003, +0.00000000000E+000
+2.63750000000E+008, +3.88691497482E-003, +0.00000000000E+000
+2.64375000000E+008, +2.44781655775E-003, +0.00000000000E+000
+2.65000000000E+008, -1.59326695746E-004, +0.00000000000E+000
+2.65625000000E+008, +2.27364448818E-003, +0.00000000000E+000
+2.66250000000E+008, +2.61796023978E-003, +0.00000000000E+000
+2.66875000000E+008, +3.52242180493E-003, +0.00000000000E+000
+2.67500000000E+008, +3.83340179778E-003, +0.00000000000E+000
+2.68125000000E+008, +2.70407555759E-003, +0.00000000000E+000
+2.68750000000E+008, +3.15389504227E-003, +0.00000000000E+000
+2.69375000000E+008, +2.95598868069E-003, +0.00000000000E+000
+2.70000000000E+008, +1.33864670358E-003, +0.00000000000E+000
+2.70625000000E+008, +1.88978916773E-003, +0.00000000000E+000
+2.71250000000E+008, +1.80826217798E-003, +0.00000000000E+000
+2.71875000000E+008, +2.18255886026E-003, +0.00000000000E+000
+2.72500000000E+008, +2.01720824213E-003, +0.00000000000E+000
+2.73125000000E+008, +2.10378674118E-003, +0.00000000000E+000
+2.73750000000E+008, +8.44429623508E-004, +0.00000000000E+000
+2.74375000000E+008, +7.60693874315E-004, +0.00000000000E+000
+2.75000000000E+008, +4.18021735112E-003, +0.00000000000E+000
+2.75625000000E+008, +3.52424155669E-003, +0.00000000000E+000
+2.76250000000E+008, +1.88693374590E-003, +0.00000000000E+000
+2.76875000000E+008, +2.78973760725E-003, +0.00000000000E+000
+2.77500000000E+008, +1.39143417182E-003, +0.00000000000E+000
+2.78125000000E+008, +2.23409934952E-003, +0.00000000000E+000
+2.78750000000E+008, +2.67207607273E-003, +0.00000000000E+000
+2.79375000000E+008, +1.69980206889E-003, +0.00000000000E+000
+2.80000000000E+008, +1.76145335004E-003, +0.00000000000E+000
+2.80625000000E+008, +2.44156068380E-003, +0.00000000000E+000
+2.81250000000E+008, +3.63389358035E-003, +0.00000000000E+000
+2.81875000000E+008, +5.44569174078E-003, +0.00000000000E+000
+2.82500000000E+008, +2.79474015418E-003, +0.00000000000E+000
+2.83125000000E+008, +2.24191326647E-003, +0.00000000000E+000
+2.83750000000E+008, +2.44112729727E-003, +0.00000000000E+000
+2.84375000000E+008, +3.42542559662E-003, +0.00000000000E+000
+2.85000000000E+008, +2.41006622286E-003, +0.00000000000E+000
+2.85625000000E+008, +2.52953119785E-003, +0.00000000000E+000
+2.86250000000E+008, +4.59499100398E-003, +0.00000000000E+000
+2.86875000000E+008, +6.01189771025E-003, +0.00000000000E+000
+2.87500000000E+008, +4.23197481768E-003, +0.00000000000E+000
+2.88125000000E+008, +2.94547788542E-003, +0.00000000000E+000
