"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -2.27543210369E+001, +0.00000000000E+000
+2.50625000000E+008, -2.27649894173E+001, +0.00000000000E+000
+2.51250000000E+008, -2.27598979249E+001, +0.00000000000E+000
+2.51875000000E+008, -2.27631901591E+001, +0.00000000000E+000
+2.52500000000E+008, -2.27656767005E+001, +0.00000000000E+000
+2.53125000000E+008, -2.27609431256E+001, +0.00000000000E+000
+2.53750000000E+008, -2.27588370192E+001, +0.00000000000E+000
+2.54375000000E+008, -2.27658427372E+001, +0.00000000000E+000
+2.55000000000E+008, -2.27691511567E+001, +0.00000000000E+000
+2.55625000000E+008, -2.27738825521E+001, +0.00000000000E+000
+2.56250000000E+008, -2.27674592230E+001, +0.00000000000E+000
+2.56875000000E+008, -2.27657087209E+001, +0.00000000000E+000
+2.57500000000E+008, -2.27688569034E+001, +0.00000000000E+000
+2.58125000000E+008, -2.27721808975E+001, +0.00000000000E+000
+2.58750000000E+008, -2.27729256919E+001, +0.00000000000E+000
+2.59375000000E+008, -2.27741206071E+001, +0.00000000000E+000
+2.60000000000E+008, -2.27722540464E+001, +0.00000000000E+000
+2.60625000000E+008, -2.27739945601E+001, +0.00000000000E+000
+2.61250000000E+008, -2.27694446270E+001, +0.00000000000E+000
+2.61875000000E+008, -2.27598235203E+001, +0.00000000000E+000
+2.62500000000E+008, -2.27711148866E+001, +0.00000000000E+000
+2.63125000000E+008, -2.27749210817E+001, +0.00000000000E+000
+2.63750000000E+008, -2.27779624123E+001, +0.00000000000E+000
+2.64375000000E+008, -2.27737601366E+001, +0.00000000000E+000
+2.65000000000E+008, -2.27813135499E+001, +0.00000000000E+000
+2.65625000000E+008, -2.27710368796E+001, +0.00000000000E+000
+2.66250000000E+008, -2.27775438033E+001, +0.00000000000E+000
+2.66875000000E+008, -2.27750623540E+001, +0.00000000000E+000
+2.67500000000E+008, -2.27780645199E+001, +0.00000000000E+000
+2.68125000000E+008, -2.27798355796E+001, +0.00000000000E+000
+2.68750000000E+008, -2.27833210867E+001, +0.00000000000E+000
+2.69375000000E+008, -2.27796268995E+001, +0.00000000000E+000
+2.70000000000E+008, -2.27771060500E+001, +0.00000000000E+000
+2.70625000000E+008, -2.27818800011E+001, +0.00000000000E+000
+2.71250000000E+008, -2.27838994662E+001, +0.00000000000E+000
+2.71875000000E+008, -2.27825686861E+001, +0.00000000000E+000
+2.72500000000E+008, -2.27825880442E+001, +0.00000000000E+000
+2.73125000000E+008, -2.27799768975E+001, +0.00000000000E+000
+2.73750000000E+008, -2.27868182332E+001, +0.00000000000E+000
+2.74375000000E+008, -2.27793878375E+001, +0.00000000000E+000
+2.75000000000E+008, -2.27917044644E+001, +0.00000000000E+000
+2.75625000000E+008, -2.27885863858E+001, +0.00000000000E+000
+2.76250000000E+008, -2.27954120237E+001, +0.00000000000E+000
+2.76875000000E+008, -2.27861684317E+001, +0.00000000000E+000
+2.77500000000E+008, -2.27886450513E+001, +0.00000000000E+000
+2.78125000000E+008, -2.27913668639E+001, +0.00000000000E+000
+2.78750000000E+008, -2.27919472093E+001, +0.00000000000E+000
+2.79375000000E+008, -2.27883245365E+001, +0.00000000000E+000
+2.80000000000E+008, -2.27904937160E+001, +0.00000000000E+000
+2.80625000000E+008, -2.27915741361E+001, +0.00000000000E+000
+2.81250000000E+008, -2.27993989329E+001, +0.00000000000E+000
+2.81875000000E+008, -2.27953219128E+001, +0.00000000000E+000
+2.82500000000E+008, -2.27903606259E+001, +0.00000000000E+000
+2.83125000000E+008, -2.27919649718E+001, +0.00000000000E+000
+2.83750000000E+008, -2.28000022728E+001, +0.00000000000E+000
+2.84375000000E+008, -2.27925943198E+001, +0.00000000000E+000
+2.85000000000E+008, -2.27946223878E+001, +0.00000000000E+000
+2.85625000000E+008, -2.28005464748E+001, +0.00000000000E+000
+2.86250000000E+008, -2.27960344620E+001, +0.00000000000E+000
+2.86875000000E+008, -2.27999120005E+001, +0.00000000000E+000
+2.87500000000E+008, -2.28012031174E+001, +0.00000000000E+000
