"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -4.65385154805E+001, +0.00000000000E+000
+2.50625000000E+008, -4.64528442844E+001, +0.00000000000E+000
+2.51250000000E+008, -4.65072441543E+001, +0.00000000000E+000
+2.51875000000E+008, -4.63896556647E+001, +0.00000000000E+000
+2.52500000000E+008, -4.63724550443E+001, +0.00000000000E+000
+2.53125000000E+008, -4.63758848607E+001, +0.00000000000E+000
+2.53750000000E+008, -4.62237989052E+001, +0.00000000000E+000
+2.54375000000E+008, -4.62193623572E+001, +0.00000000000E+000
+2.55000000000E+008, -4.62818259565E+001, +0.00000000000E+000
+2.55625000000E+008, -4.62447788972E+001, +0.00000000000E+000
+2.56250000000E+008, -4.60823959701E+001, +0.00000000000E+000
+2.56875000000E+008, -4.61005918701E+001, +0.00000000000E+000
+2.57500000000E+008, -4.58856855159E+001, +0.00000000000E+000
+2.58125000000E+008, -4.60332482637E+001, +0.00000000000E+000
+2.58750000000E+008, -4.59305027724E+001, +0.00000000000E+000
+2.59375000000E+008, -4.58419606748E+001, +0.00000000000E+000
+2.60000000000E+008, -4.58616970661E+001, +0.00000000000E+000
+2.60625000000E+008, -4.59065947609E+001, +0.00000000000E+000
+2.61250000000E+008, -4.57756582378E+001, +0.00000000000E+000
+2.61875000000E+008, -4.57304580848E+001, +0.00000000000E+000
+2.62500000000E+008, -4.57521571415E+001, +0.00000000000E+000
+2.63125000000E+008, -4.57044158968E+001, +0.00000000000E+000
+2.63750000000E+008, -4.57837585570E+001, +0.00000000000E+000
+2.64375000000E+008, -4.56244468641E+001, +0.00000000000E+000
+2.65000000000E+008, -4.55732544118E+001, +0.00000000000E+000
+2.65625000000E+008, -4.55285824252E+001, +0.00000000000E+000
+2.66250000000E+008, -4.55032251035E+001, +0.00000000000E+000
+2.66875000000E+008, -4.53674481575E+001, +0.00000000000E+000
+2.67500000000E+008, -4.54997472623E+001, +0.00000000000E+000
+2.68125000000E+008, -4.53322596322E+001, +0.00000000000E+000
+2.68750000000E+008, -4.53294638382E+001, +0.00000000000E+000
+2.69375000000E+008, -4.53283691177E+001, +0.00000000000E+000
+2.70000000000E+008, -4.52894754138E+001, +0.00000000000E+000
+2.70625000000E+008, -4.52189739236E+001, +0.00000000000E+000
+2.71250000000E+008, -4.51635820276E+001, +0.00000000000E+000
+2.71875000000E+008, -4.51493836155E+001, +0.00000000000E+000
+2.72500000000E+008, -4.49771368284E+001, +0.00000000000E+000
+2.73125000000E+008, -4.51080546833E+001, +0.00000000000E+000
+2.73750000000E+008, -4.50338256457E+001, +0.00000000000E+000
+2.74375000000E+008, -4.49916712893E+001, +0.00000000000E+000
+2.75000000000E+008, -4.50443674122E+001, +0.00000000000E+000
+2.75625000000E+008, -4.49427005909E+001, +0.00000000000E+000
+2.76250000000E+008, -4.48381170689E+001, +0.00000000000E+000
+2.76875000000E+008, -4.48869672234E+001, +0.00000000000E+000
+2.77500000000E+008, -4.47978256474E+001, +0.00000000000E+000
+2.78125000000E+008, -4.47811609614E+001, +0.00000000000E+000
+2.78750000000E+008, -4.47850442991E+001, +0.00000000000E+000
+2.79375000000E+008, -4.47924957802E+001, +0.00000000000E+000
+2.80000000000E+008, -4.47082147931E+001, +0.00000000000E+000
+2.80625000000E+008, -4.47382435712E+001, +0.00000000000E+000
+2.81250000000E+008, -4.46888633226E+001, +0.00000000000E+000
+2.81875000000E+008, -4.46187849507E+001, +0.00000000000E+000
+2.82500000000E+008, -4.45908822366E+001, +0.00000000000E+000
+2.83125000000E+008, -4.46387133022E+001, +0.00000000000E+000
+2.83750000000E+008, -4.45468061553E+001, +0.00000000000E+000
+2.84375000000E+008, -4.44228612701E+001, +0.00000000000E+000
+2.85000000000E+008, -4.44303082681E+001, +0.00000000000E+000
+2.85625000000E+008, -4.44383671890E+001, +0.00000000000E+000
+2.86250000000E+008, -4.44518706439E+001, +0.00000000000E+000
+2.86875000000E+008, -4.43770472975E+001, +0.00000000000E+000
+2.87500000000E+008, -4.43087606105E+001, +0.00000000000E+000
+2.88125000000E+008, -4.43254144040E+001, +0.00000000000E+000
+2.88750000000E+008, -4.43332726041E+001, +0.00000000000E+000
+2.89375000000E+008, -4.42531522390E+001, +0.00000000000E+000
+2.90000000000E+008, -4.43121483231E+001, +0.00000000000E+000
+2.90625000000E+008, -4.42597402401E+001, +0.00000000000E+000
+2.91250000000E+008, -4.42257733581E+001, +0.00000000000E+000
+2.91875000000E+008, -4.41360051634E+001, +0.00000000000E+000
+2.92500000000E+008, -4.41868557017E+001, +0.00000000000E+000
+2.93125000000E+008, -4.40297165582E+001, +0.00000000000E+000
+2.93750000000E+008, -4.40553379319E+001, +0.00000000000E+000
+2.94375000000E+008, -4.41164864597E+001, +0.00000000000E+000
+2.95000000000E+008, -4.40933831889E+001, +0.00000000000E+000
+2.95625000000E+008, -4.40355498811E+001, +0.00000000000E+000
+2.96250000000E+008, -4.39258643879E+001, +0.00000000000E+000
+2.96875000000E+008, -4.39417909043E+001, +0.00000000000E+000
+2.97500000000E+008, -4.40083536511E+001, +0.00000000000E+000
+2.98125000000E+008, -4.39567463183E+001, +0.00000000000E+000
+2.98750000000E+008, -4.38455026512E+001, +0.00000000000E+000
+2.99375000000E+008, -4.39730526744E+001, +0.00000000000E+000
+3.00000000000E+008, -4.38644128259E+001, +0.00000000000E+000
+3.00625000000E+008, -4.38231631428E+001, +0.00000000000E+000
+3.01250000000E+008, -4.38229589169E+001, +0.00000000000E+000
+3.01875000000E+008, -4.37651958675E+001, +0.00000000000E+000
+3.02500000000E+008, -4.37962003123E+001, +0.00000000000E+000
+3.03125000000E+008, -4.37002248030E+001, +0.00000000000E+000
+3.03750000000E+008, -4.38116233344E+001, +0.00000000000E+000
+3.04375000000E+008, -4.36428968392E+001, +0.00000000000E+000
+3.05000000000E+008, -4.37150492042E+001, +0.00000000000E+000
+3.05625000000E+008, -4.37429193606E+001, +0.00000000000E+000
+3.06250000000E+008, -4.35906357865E+001, +0.00000000000E+000
+3.06875000000E+008, -4.35513572218E+001, +0.00000000000E+000
+3.07500000000E+008, -4.34905156181E+001, +0.00000000000E+000
+3.08125000000E+008, -4.35261654492E+001, +0.00000000000E+000
+3.08750000000E+008, -4.34934256187E+001, +0.00000000000E+000
+3.09375000000E+008, -4.35409181889E+001, +0.00000000000E+000
+3.10000000000E+008, -4.34883444940E+001, +0.00000000000E+000
+3.10625000000E+008, -4.34545906517E+001, +0.00000000000E+000
+3.11250000000E+008, -4.34787029039E+001, +0.00000000000E+000
+3.11875000000E+008, -4.34522656656E+001, +0.00000000000E+000
+3.12500000000E+008, -4.34239612035E+001, +0.00000000000E+000
+3.13125000000E+008, -4.34354030588E+001, +0.00000000000E+000
+3.13750000000E+008, -4.33746026114E+001, +0.00000000000E+000
+3.14375000000E+008, -4.33725976247E+001, +0.00000000000E+000
+3.15000000000E+008, -4.34012066936E+001, +0.00000000000E+000
+3.15625000000E+008, -4.33852896796E+001, +0.00000000000E+000
+3.16250000000E+008, -4.33451191433E+001, +0.00000000000E+000
+3.16875000000E+008, -4.33730203437E+001, +0.00000000000E+000
+3.17500000000E+008, -4.33278153294E+001, +0.00000000000E+000
+3.18125000000E+008, -4.33537402323E+001, +0.00000000000E+000
+3.18750000000E+008, -4.31746278991E+001, +0.00000000000E+000
+3.19375000000E+008, -4.32869286251E+001, +0.00000000000E+000
+3.20000000000E+008, -4.32173423084E+001, +0.00000000000E+000
+3.20625000000E+008, -4.32282649023E+001, +0.00000000000E+000
+3.21250000000E+008, -4.32025931703E+001, +0.00000000000E+000
+3.21875000000E+008, -4.31570344616E+001, +0.00000000000E+000
+3.22500000000E+008, -4.31210367322E+001, +0.00000000000E+000
+3.23125000000E+008, -4.31044712322E+001, +0.00000000000E+000
+3.23750000000E+008, -4.32299651420E+001, +0.00000000000E+000
+3.24375000000E+008, -4.31300034833E+001, +0.00000000000E+000
+3.25000000000E+008, -4.30482398664E+001, +0.00000000000E+000
+3.25625000000E+008, -4.30527335462E+001, +0.00000000000E+000
+3.26250000000E+008, -4.31230730859E+001, +0.00000000000E+000
+3.26875000000E+008, -4.30294434104E+001, +0.00000000000E+000
+3.27500000000E+008, -4.30749101711E+001, +0.00000000000E+000
+3.28125000000E+008, -4.29309711589E+001, +0.00000000000E+000
+3.28750000000E+008, -4.30308139252E+001, +0.00000000000E+000
+3.29375000000E+008, -4.29541583075E+001, +0.00000000000E+000
+3.30000000000E+008, -4.28814370079E+001, +0.00000000000E+000
+3.30625000000E+008, -4.28848193226E+001, +0.00000000000E+000
+3.31250000000E+008, -4.29417863735E+001, +0.00000000000E+000
