"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -1.36839952363E+001, +0.00000000000E+000
+2.50625000000E+008, -1.36799157738E+001, +0.00000000000E+000
+2.51250000000E+008, -1.36743660520E+001, +0.00000000000E+000
+2.51875000000E+008, -1.36690246776E+001, +0.00000000000E+000
+2.52500000000E+008, -1.36642451103E+001, +0.00000000000E+000
+2.53125000000E+008, -1.36575025506E+001, +0.00000000000E+000
+2.53750000000E+008, -1.36554965245E+001, +0.00000000000E+000
+2.54375000000E+008, -1.36481507382E+001, +0.00000000000E+000
+2.55000000000E+008, -1.36405610925E+001, +0.00000000000E+000
+2.55625000000E+008, -1.36358068233E+001, +0.00000000000E+000
+2.56250000000E+008, -1.36327603725E+001, +0.00000000000E+000
+2.56875000000E+008, -1.36251407163E+001, +0.00000000000E+000
+2.57500000000E+008, -1.36153532961E+001, +0.00000000000E+000
+2.58125000000E+008, -1.36127096286E+001, +0.00000000000E+000
+2.58750000000E+008, -1.36111432576E+001, +0.00000000000E+000
+2.59375000000E+008, -1.36038660732E+001, +0.00000000000E+000
+2.60000000000E+008, -1.35948078313E+001, +0.00000000000E+000
+2.60625000000E+008, -1.35867853348E+001, +0.00000000000E+000
+2.61250000000E+008, -1.35848113077E+001, +0.00000000000E+000
+2.61875000000E+008, -1.35778335535E+001, +0.00000000000E+000
+2.62500000000E+008, -1.35712263427E+001, +0.00000000000E+000
+2.63125000000E+008, -1.35638736603E+001, +0.00000000000E+000
+2.63750000000E+008, -1.35566305465E+001, +0.00000000000E+000
+2.64375000000E+008, -1.35488681414E+001, +0.00000000000E+000
+2.65000000000E+008, -1.35471621435E+001, +0.00000000000E+000
+2.65625000000E+008, -1.35427946773E+001, +0.00000000000E+000
+2.66250000000E+008, -1.35273239809E+001, +0.00000000000E+000
+2.66875000000E+008, -1.35217899664E+001, +0.00000000000E+000
+2.67500000000E+008, -1.35180864366E+001, +0.00000000000E+000
+2.68125000000E+008, -1.35153629291E+001, +0.00000000000E+000
+2.68750000000E+008, -1.35083576277E+001, +0.00000000000E+000
+2.69375000000E+008, -1.34958573586E+001, +0.00000000000E+000
+2.70000000000E+008, -1.34944230233E+001, +0.00000000000E+000
+2.70625000000E+008, -1.34938203074E+001, +0.00000000000E+000
+2.71250000000E+008, -1.34808322911E+001, +0.00000000000E+000
+2.71875000000E+008, -1.34814656579E+001, +0.00000000000E+000
+2.72500000000E+008, -1.34700164652E+001, +0.00000000000E+000
+2.73125000000E+008, -1.34707670868E+001, +0.00000000000E+000
+2.73750000000E+008, -1.34695451807E+001, +0.00000000000E+000
+2.74375000000E+008, -1.34591851335E+001, +0.00000000000E+000
+2.75000000000E+008, -1.34443703401E+001, +0.00000000000E+000
+2.75625000000E+008, -1.34487527698E+001, +0.00000000000E+000
+2.76250000000E+008, -1.34440800783E+001, +0.00000000000E+000
+2.76875000000E+008, -1.34478763294E+001, +0.00000000000E+000
+2.77500000000E+008, -1.34369329904E+001, +0.00000000000E+000
+2.78125000000E+008, -1.34393446397E+001, +0.00000000000E+000
+2.78750000000E+008, -1.34368836626E+001, +0.00000000000E+000
+2.79375000000E+008, -1.34368155585E+001, +0.00000000000E+000
+2.80000000000E+008, -1.34305851915E+001, +0.00000000000E+000
+2.80625000000E+008, -1.34312990494E+001, +0.00000000000E+000
+2.81250000000E+008, -1.34233201064E+001, +0.00000000000E+000
+2.81875000000E+008, -1.34310264900E+001, +0.00000000000E+000
+2.82500000000E+008, -1.34227317840E+001, +0.00000000000E+000
+2.83125000000E+008, -1.34285508741E+001, +0.00000000000E+000
+2.83750000000E+008, -1.34209179486E+001, +0.00000000000E+000
+2.84375000000E+008, -1.34298351146E+001, +0.00000000000E+000
+2.85000000000E+008, -1.34267371854E+001, +0.00000000000E+000
+2.85625000000E+008, -1.34272380126E+001, +0.00000000000E+000
+2.86250000000E+008, -1.34296626679E+001, +0.00000000000E+000
+2.86875000000E+008, -1.34281046108E+001, +0.00000000000E+000
+2.87500000000E+008, -1.34306366737E+001, +0.00000000000E+000
+2.88125000000E+008, -1.34304322100E+001, +0.00000000000E+000
+2.88750000000E+008, -1.34317783370E+001, +0.00000000000E+000
+2.89375000000E+008, -1.34331262168E+001, +0.00000000000E+000
+2.90000000000E+008, -1.34371532302E+001, +0.00000000000E+000
+2.90625000000E+008, -1.34335186359E+001, +0.00000000000E+000
+2.91250000000E+008, -1.34351452983E+001, +0.00000000000E+000
+2.91875000000E+008, -1.34358329133E+001, +0.00000000000E+000
