"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, +2.05172072469E-003, +0.00000000000E+000
+2.50625000000E+008, -1.93141006070E-003, +0.00000000000E+000
+2.51250000000E+008, -2.01257043311E-003, +0.00000000000E+000
+2.51875000000E+008, -1.30340659416E-003, +0.00000000000E+000
+2.52500000000E+008, -4.46855923619E-005, +0.00000000000E+000
+2.53125000000E+008, -1.17613197862E-005, +0.00000000000E+000
+2.53750000000E+008, -2.57934447605E-003, +0.00000000000E+000
+2.54375000000E+008, -7.48321530833E-004, +0.00000000000E+000
+2.55000000000E+008, +2.81409943140E-004, +0.00000000000E+000
+2.55625000000E+008, -1.89346892292E-003, +0.00000000000E+000
+2.56250000000E+008, -2.78936822165E-003, +0.00000000000E+000
+2.56875000000E+008, -2.75713998938E-003, +0.00000000000E+000
+2.57500000000E+008, -2.22154097452E-003, +0.00000000000E+000
+2.58125000000E+008, -6.59868003279E-004, +0.00000000000E+000
+2.58750000000E+008, -1.68127939265E-003, +0.00000000000E+000
+2.59375000000E+008, -1.95373645033E-003, +0.00000000000E+000
+2.60000000000E+008, -1.49000032824E-003, +0.00000000000E+000
+2.60625000000E+008, +6.82983780243E-004, +0.00000000000E+000
+2.61250000000E+008, -1.33635218176E-003, +0.00000000000E+000
+2.61875000000E+008, -2.55448360960E-003, +0.00000000000E+000
+2.62500000000E+008, -3.92619029674E-003, +0.00000000000E+000
+2.63125000000E+008, -4.08201780447E-003, +0.00000000000E+000
+2.63750000000E+008, -2.84949335974E-003, +0.00000000000E+000
+2.64375000000E+008, +2.66217005673E-004, +0.00000000000E+000
+2.65000000000E+008, -2.58355647609E-003, +0.00000000000E+000
+2.65625000000E+008, -1.17539064119E-003, +0.00000000000E+000
+2.66250000000E+008, -3.22337237395E-003, +0.00000000000E+000
+2.66875000000E+008, +1.29377342325E-003, +0.00000000000E+000
+2.67500000000E+008, +7.85320679432E-004, +0.00000000000E+000
+2.68125000000E+008, -2.33125696290E-003, +0.00000000000E+000
+2.68750000000E+008, -1.28873584382E-003, +0.00000000000E+000
+2.69375000000E+008, -5.12369022368E-004, +0.00000000000E+000
+2.70000000000E+008, +1.66555605691E-004, +0.00000000000E+000
+2.70625000000E+008, -1.70591000315E-003, +0.00000000000E+000
+2.71250000000E+008, -2.90240729165E-003, +0.00000000000E+000
+2.71875000000E+008, -1.71213674062E-003, +0.00000000000E+000
+2.72500000000E+008, +1.08608373040E-003, +0.00000000000E+000
+2.73125000000E+008, -2.07448778817E-004, +0.00000000000E+000
+2.73750000000E+008, -2.06042279335E-003, +0.00000000000E+000
+2.74375000000E+008, -9.59890988170E-004, +0.00000000000E+000
+2.75000000000E+008, +5.15575174703E-004, +0.00000000000E+000
+2.75625000000E+008, -2.43423887340E-004, +0.00000000000E+000
+2.76250000000E+008, -1.25906949980E-003, +0.00000000000E+000
+2.76875000000E+008, -1.47840594122E-003, +0.00000000000E+000
+2.77500000000E+008, +1.20562310759E-004, +0.00000000000E+000
+2.78125000000E+008, +3.73571667145E-004, +0.00000000000E+000
+2.78750000000E+008, -2.15406583148E-003, +0.00000000000E+000
