"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -1.98007979830E-002, +0.00000000000E+000
+2.50625000000E+008, -2.27556673430E-002, +0.00000000000E+000
+2.51250000000E+008, -2.08146167539E-002, +0.00000000000E+000
+2.51875000000E+008, -1.94303820417E-002, +0.00000000000E+000
+2.52500000000E+008, -1.92471253169E-002, +0.00000000000E+000
+2.53125000000E+008, -1.78785330469E-002, +0.00000000000E+000
+2.53750000000E+008, -2.25583249593E-002, +0.00000000000E+000
+2.54375000000E+008, -2.01546380041E-002, +0.00000000000E+000
+2.55000000000E+008, -2.14523035244E-002, +0.00000000000E+000
+2.55625000000E+008, -2.11081905867E-002, +0.00000000000E+000
+2.56250000000E+008, -2.07820376987E-002, +0.00000000000E+000
+2.56875000000E+008, -2.17527903018E-002, +0.00000000000E+000
+2.57500000000E+008, -2.19756200496E-002, +0.00000000000E+000
+2.58125000000E+008, -2.12761184856E-002, +0.00000000000E+000
+2.58750000000E+008, -2.08449166550E-002, +0.00000000000E+000
+2.59375000000E+008, -2.17445915667E-002, +0.00000000000E+000
+2.60000000000E+008, -2.20069820982E-002, +0.00000000000E+000
+2.60625000000E+008, -2.28683675537E-002, +0.00000000000E+000
+2.61250000000E+008, -1.99506005471E-002, +0.00000000000E+000
+2.61875000000E+008, -2.15020612853E-002, +0.00000000000E+000
+2.62500000000E+008, -2.09418593216E-002, +0.00000000000E+000
+2.63125000000E+008, -2.18290096048E-002, +0.00000000000E+000
+2.63750000000E+008, -2.11709967931E-002, +0.00000000000E+000
+2.64375000000E+008, -2.18896394327E-002, +0.00000000000E+000
+2.65000000000E+008, -2.31866298814E-002, +0.00000000000E+000
+2.65625000000E+008, -2.17145363609E-002, +0.00000000000E+000
+2.66250000000E+008, -2.15295719843E-002, +0.00000000000E+000
+2.66875000000E+008, -2.19933544088E-002, +0.00000000000E+000
+2.67500000000E+008, -2.11141757032E-002, +0.00000000000E+000
+2.68125000000E+008, -2.27424323923E-002, +0.00000000000E+000
+2.68750000000E+008, -2.14818715044E-002, +0.00000000000E+000
+2.69375000000E+008, -2.05137260342E-002, +0.00000000000E+000
+2.70000000000E+008, -2.24010293790E-002, +0.00000000000E+000
