"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, +3.36894615460E-003, +0.00000000000E+000
+2.50625000000E+008, +2.13963645796E-003, +0.00000000000E+000
+2.51250000000E+008, +1.54874373386E-003, +0.00000000000E+000
+2.51875000000E+008, +4.53351925144E-003, +0.00000000000E+000
+2.52500000000E+008, +4.15544320564E-003, +0.00000000000E+000
+2.53125000000E+008, +3.30510273556E-003, +0.00000000000E+000
+2.53750000000E+008, +1.22475414446E-003, +0.00000000000E+000
+2.54375000000E+008, +3.39390871253E-003, +0.00000000000E+000
+2.55000000000E+008, +5.60825277886E-003, +0.00000000000E+000
+2.55625000000E+008, +4.37690839871E-003, +0.00000000000E+000
+2.56250000000E+008, +2.22737847462E-003, +0.00000000000E+000
+2.56875000000E+008, +1.98040370905E-003, +0.00000000000E+000
+2.57500000000E+008, +4.09324006750E-003, +0.00000000000E+000
+2.58125000000E+008, +2.63623704352E-003, +0.00000000000E+000
+2.58750000000E+008, +2.03058172503E-003, +0.00000000000E+000
+2.59375000000E+008, -1.95429212846E-005, +0.00000000000E+000
+2.60000000000E+008, +8.36360611526E-004, +0.00000000000E+000
+2.60625000000E+008, +3.35758239065E-003, +0.00000000000E+000
+2.61250000000E+008, +3.26856887432E-003, +0.00000000000E+000
+2.61875000000E+008, +1.59969130416E-003, +0.00000000000E+000
+2.62500000000E+008, +2.02428531175E-004, +0.00000000000E+000
+2.63125000000E+008, +1.51785250095E-003, +0.00000000000E+000
+2.63750000000E+008, +3.55651948559E-003, +0.00000000000E+000
+2.64375000000E+008, +4.29958847694E-003, +0.00000000000E+000
+2.65000000000E+008, -1.31663561693E-003, +0.00000000000E+000
+2.65625000000E+008, +3.15829872297E-003, +0.00000000000E+000
+2.66250000000E+008, +4.75030065688E-003, +0.00000000000E+000
+2.66875000000E+008, +2.63310476093E-003, +0.00000000000E+000
+2.67500000000E+008, +2.48130544272E-003, +0.00000000000E+000
+2.68125000000E+008, +2.52395846285E-003, +0.00000000000E+000
+2.68750000000E+008, +2.51938351916E-003, +0.00000000000E+000
+2.69375000000E+008, +2.92301058683E-003, +0.00000000000E+000
+2.70000000000E+008, +4.38635256033E-003, +0.00000000000E+000
+2.70625000000E+008, +1.31011146193E-003, +0.00000000000E+000
+2.71250000000E+008, +3.21466975176E-003, +0.00000000000E+000
+2.71875000000E+008, +2.41457735441E-003, +0.00000000000E+000
+2.72500000000E+008, +3.31174690147E-003, +0.00000000000E+000
+2.73125000000E+008, +1.30868966897E-003, +0.00000000000E+000
+2.73750000000E+008, +5.80769410089E-004, +0.00000000000E+000
+2.74375000000E+008, +1.17320883287E-003, +0.00000000000E+000
+2.75000000000E+008, +3.37093969890E-003, +0.00000000000E+000
+2.75625000000E+008, +3.35067125484E-003, +0.00000000000E+000
+2.76250000000E+008, +1.11992275413E-003, +0.00000000000E+000
+2.76875000000E+008, +1.35304192055E-003, +0.00000000000E+000
+2.77500000000E+008, +1.68133070661E-003, +0.00000000000E+000
+2.78125000000E+008, +3.40781036267E-003, +0.00000000000E+000
+2.78750000000E+008, +2.83689515564E-003, +0.00000000000E+000
+2.79375000000E+008, +3.34861138927E-004, +0.00000000000E+000
+2.80000000000E+008, +3.73453972059E-003, +0.00000000000E+000
+2.80625000000E+008, +2.81488106112E-003, +0.00000000000E+000
+2.81250000000E+008, +3.09630516531E-003, +0.00000000000E+000
+2.81875000000E+008, +2.79576355100E-003, +0.00000000000E+000
