"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -6.00883602161E+001, +0.00000000000E+000
+2.50625000000E+008, -6.02212158580E+001, +0.00000000000E+000
+2.51250000000E+008, -6.00759051811E+001, +0.00000000000E+000
+2.51875000000E+008, -6.02997129887E+001, +0.00000000000E+000
+2.52500000000E+008, -6.04895469221E+001, +0.00000000000E+000
+2.53125000000E+008, -6.04228761290E+001, +0.00000000000E+000
+2.53750000000E+008, -6.03733227510E+001, +0.00000000000E+000
+2.54375000000E+008, -6.01221640858E+001, +0.00000000000E+000
+2.55000000000E+008, -6.06259373096E+001, +0.00000000000E+000
+2.55625000000E+008, -6.04212806166E+001, +0.00000000000E+000
+2.56250000000E+008, -6.01705583135E+001, +0.00000000000E+000
+2.56875000000E+008, -6.06895088502E+001, +0.00000000000E+000
+2.57500000000E+008, -6.05809658238E+001, +0.00000000000E+000
+2.58125000000E+008, -6.02116880856E+001, +0.00000000000E+000
+2.58750000000E+008, -6.06334313179E+001, +0.00000000000E+000
+2.59375000000E+008, -6.00209000282E+001, +0.00000000000E+000
+2.60000000000E+008, -6.07862514885E+001, +0.00000000000E+000
+2.60625000000E+008, -6.09557927025E+001, +0.00000000000E+000
+2.61250000000E+008, -6.10107429957E+001, +0.00000000000E+000
+2.61875000000E+008, -6.13801580472E+001, +0.00000000000E+000
+2.62500000000E+008, -6.06569215138E+001, +0.00000000000E+000
+2.63125000000E+008, -6.13086544265E+001, +0.00000000000E+000
+2.63750000000E+008, -6.13928208453E+001, +0.00000000000E+000
+2.64375000000E+008, -6.13684614809E+001, +0.00000000000E+000
+2.65000000000E+008, -6.10663723466E+001, +0.00000000000E+000
+2.65625000000E+008, -6.15031081739E+001, +0.00000000000E+000
+2.66250000000E+008, -6.14714671035E+001, +0.00000000000E+000
+2.66875000000E+008, -6.10088397375E+001, +0.00000000000E+000
+2.67500000000E+008, -6.06700779376E+001, +0.00000000000E+000
+2.68125000000E+008, -6.11315684453E+001, +0.00000000000E+000
+2.68750000000E+008, -6.13122187937E+001, +0.00000000000E+000
+2.69375000000E+008, -6.05362761024E+001, +0.00000000000E+000
+2.70000000000E+008, -6.12063522581E+001, +0.00000000000E+000
+2.70625000000E+008, -6.08043678598E+001, +0.00000000000E+000
+2.71250000000E+008, -6.08675181041E+001, +0.00000000000E+000
+2.71875000000E+008, -6.13989738154E+001, +0.00000000000E+000
+2.72500000000E+008, -6.11768205980E+001, +0.00000000000E+000
+2.73125000000E+008, -6.11880564156E+001, +0.00000000000E+000
+2.73750000000E+008, -6.07933428902E+001, +0.00000000000E+000
+2.74375000000E+008, -6.11371678818E+001, +0.00000000000E+000
+2.75000000000E+008, -6.12489111973E+001, +0.00000000000E+000
+2.75625000000E+008, -6.13965377490E+001, +0.00000000000E+000
+2.76250000000E+008, -6.06131774104E+001, +0.00000000000E+000
+2.76875000000E+008, -6.08318368670E+001, +0.00000000000E+000
+2.77500000000E+008, -6.13258385133E+001, +0.00000000000E+000
+2.78125000000E+008, -6.14488540136E+001, +0.00000000000E+000
+2.78750000000E+008, -6.12561857787E+001, +0.00000000000E+000
+2.79375000000E+008, -6.05519364921E+001, +0.00000000000E+000
+2.80000000000E+008, -6.14089441900E+001, +0.00000000000E+000
+2.80625000000E+008, -6.07135891322E+001, +0.00000000000E+000
+2.81250000000E+008, -6.07615645215E+001, +0.00000000000E+000
+2.81875000000E+008, -6.09256807201E+001, +0.00000000000E+000
+2.82500000000E+008, -6.09504744192E+001, +0.00000000000E+000
+2.83125000000E+008, -6.08487442361E+001, +0.00000000000E+000
+2.83750000000E+008, -6.02528530882E+001, +0.00000000000E+000
+2.84375000000E+008, -6.00750552462E+001, +0.00000000000E+000
+2.85000000000E+008, -6.02718115193E+001, +0.00000000000E+000
+2.85625000000E+008, -6.04527283608E+001, +0.00000000000E+000
+2.86250000000E+008, -6.05247041613E+001, +0.00000000000E+000
+2.86875000000E+008, -6.00934045646E+001, +0.00000000000E+000
+2.87500000000E+008, -6.01627907079E+001, +0.00000000000E+000
+2.88125000000E+008, -5.97818469867E+001, +0.00000000000E+000
+2.88750000000E+008, -6.04240834079E+001, +0.00000000000E+000
+2.89375000000E+008, -6.00863853767E+001, +0.00000000000E+000
+2.90000000000E+008, -6.05171066830E+001, +0.00000000000E+000
+2.90625000000E+008, -5.95628921518E+001, +0.00000000000E+000
