"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -2.21335828179E+001, +0.00000000000E+000
+2.50625000000E+008, -2.21417597767E+001, +0.00000000000E+000
+2.51250000000E+008, -2.21393548826E+001, +0.00000000000E+000
+2.51875000000E+008, -2.21397501211E+001, +0.00000000000E+000
+2.52500000000E+008, -2.21383106634E+001, +0.00000000000E+000
+2.53125000000E+008, -2.21466658700E+001, +0.00000000000E+000
+2.53750000000E+008, -2.21404998305E+001, +0.00000000000E+000
+2.54375000000E+008, -2.21420556991E+001, +0.00000000000E+000
+2.55000000000E+008, -2.21400823309E+001, +0.00000000000E+000
+2.55625000000E+008, -2.21437191603E+001, +0.00000000000E+000
+2.56250000000E+008, -2.21467253224E+001, +0.00000000000E+000
+2.56875000000E+008, -2.21511378940E+001, +0.00000000000E+000
+2.57500000000E+008, -2.21365063989E+001, +0.00000000000E+000
+2.58125000000E+008, -2.21460258291E+001, +0.00000000000E+000
+2.58750000000E+008, -2.21357268839E+001, +0.00000000000E+000
+2.59375000000E+008, -2.21526330127E+001, +0.00000000000E+000
+2.60000000000E+008, -2.21480769565E+001, +0.00000000000E+000
+2.60625000000E+008, -2.21451417922E+001, +0.00000000000E+000
+2.61250000000E+008, -2.21420696326E+001, +0.00000000000E+000
+2.61875000000E+008, -2.21418029369E+001, +0.00000000000E+000
+2.62500000000E+008, -2.21466113615E+001, +0.00000000000E+000
+2.63125000000E+008, -2.21416362389E+001, +0.00000000000E+000
+2.63750000000E+008, -2.21438564036E+001, +0.00000000000E+000
+2.64375000000E+008, -2.21409011326E+001, +0.00000000000E+000
+2.65000000000E+008, -2.21479261145E+001, +0.00000000000E+000
+2.65625000000E+008, -2.21446065088E+001, +0.00000000000E+000
+2.66250000000E+008, -2.21410721594E+001, +0.00000000000E+000
+2.66875000000E+008, -2.21393589880E+001, +0.00000000000E+000
+2.67500000000E+008, -2.21450009478E+001, +0.00000000000E+000
+2.68125000000E+008, -2.21442765840E+001, +0.00000000000E+000
+2.68750000000E+008, -2.21571057241E+001, +0.00000000000E+000
+2.69375000000E+008, -2.21395642508E+001, +0.00000000000E+000
+2.70000000000E+008, -2.21461245220E+001, +0.00000000000E+000
+2.70625000000E+008, -2.21410673032E+001, +0.00000000000E+000
+2.71250000000E+008, -2.21506261731E+001, +0.00000000000E+000
+2.71875000000E+008, -2.21449418057E+001, +0.00000000000E+000
+2.72500000000E+008, -2.21435892836E+001, +0.00000000000E+000
+2.73125000000E+008, -2.21468869767E+001, +0.00000000000E+000
+2.73750000000E+008, -2.21478472905E+001, +0.00000000000E+000
+2.74375000000E+008, -2.21418190709E+001, +0.00000000000E+000
+2.75000000000E+008, -2.21418738525E+001, +0.00000000000E+000
+2.75625000000E+008, -2.21498278898E+001, +0.00000000000E+000
+2.76250000000E+008, -2.21415268644E+001, +0.00000000000E+000
+2.76875000000E+008, -2.21412924256E+001, +0.00000000000E+000
+2.77500000000E+008, -2.21391932023E+001, +0.00000000000E+000
+2.78125000000E+008, -2.21475553982E+001, +0.00000000000E+000
+2.78750000000E+008, -2.21442712556E+001, +0.00000000000E+000
+2.79375000000E+008, -2.21542318923E+001, +0.00000000000E+000
+2.80000000000E+008, -2.21494317269E+001, +0.00000000000E+000
+2.80625000000E+008, -2.21427871586E+001, +0.00000000000E+000
