"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -1.00286257755E+001, +0.00000000000E+000
+2.50625000000E+008, -1.00286652642E+001, +0.00000000000E+000
+2.51250000000E+008, -1.00294175733E+001, +0.00000000000E+000
+2.51875000000E+008, -1.00304598785E+001, +0.00000000000E+000
+2.52500000000E+008, -1.00290063822E+001, +0.00000000000E+000
+2.53125000000E+008, -1.00300752455E+001, +0.00000000000E+000
+2.53750000000E+008, -1.00274806122E+001, +0.00000000000E+000
+2.54375000000E+008, -1.00265366599E+001, +0.00000000000E+000
+2.55000000000E+008, -1.00279837934E+001, +0.00000000000E+000
+2.55625000000E+008, -1.00285972558E+001, +0.00000000000E+000
+2.56250000000E+008, -1.00284574413E+001, +0.00000000000E+000
+2.56875000000E+008, -1.00284772633E+001, +0.00000000000E+000
+2.57500000000E+008, -1.00269116901E+001, +0.00000000000E+000
+2.58125000000E+008, -1.00282488703E+001, +0.00000000000E+000
+2.58750000000E+008, -1.00277346088E+001, +0.00000000000E+000
+2.59375000000E+008, -1.00254522631E+001, +0.00000000000E+000
+2.60000000000E+008, -1.00261069859E+001, +0.00000000000E+000
+2.60625000000E+008, -1.00292515405E+001, +0.00000000000E+000
+2.61250000000E+008, -1.00298341002E+001, +0.00000000000E+000
+2.61875000000E+008, -1.00268699729E+001, +0.00000000000E+000
+2.62500000000E+008, -1.00251843020E+001, +0.00000000000E+000
+2.63125000000E+008, -1.00255678562E+001, +0.00000000000E+000
+2.63750000000E+008, -1.00264228011E+001, +0.00000000000E+000
+2.64375000000E+008, -1.00245638862E+001, +0.00000000000E+000
+2.65000000000E+008, -1.00255804869E+001, +0.00000000000E+000
+2.65625000000E+008, -1.00258831665E+001, +0.00000000000E+000
+2.66250000000E+008, -1.00249851643E+001, +0.00000000000E+000
+2.66875000000E+008, -1.00259434050E+001, +0.00000000000E+000
+2.67500000000E+008, -1.00254525630E+001, +0.00000000000E+000
+2.68125000000E+008, -1.00249473348E+001, +0.00000000000E+000
+2.68750000000E+008, -1.00246553372E+001, +0.00000000000E+000
+2.69375000000E+008, -1.00231920361E+001, +0.00000000000E+000
+2.70000000000E+008, -1.00228483702E+001, +0.00000000000E+000
+2.70625000000E+008, -1.00234261803E+001, +0.00000000000E+000
+2.71250000000E+008, -1.00210279357E+001, +0.00000000000E+000
+2.71875000000E+008, -1.00235609066E+001, +0.00000000000E+000
+2.72500000000E+008, -1.00213751370E+001, +0.00000000000E+000
+2.73125000000E+008, -1.00220669495E+001, +0.00000000000E+000
+2.73750000000E+008, -1.00215892199E+001, +0.00000000000E+000
+2.74375000000E+008, -1.00229744325E+001, +0.00000000000E+000
+2.75000000000E+008, -1.00235664754E+001, +0.00000000000E+000
+2.75625000000E+008, -1.00220708958E+001, +0.00000000000E+000
+2.76250000000E+008, -1.00210379703E+001, +0.00000000000E+000
+2.76875000000E+008, -1.00186791206E+001, +0.00000000000E+000
