"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -9.36857389112E-002, +0.00000000000E+000
+2.50625000000E+008, -9.32840127136E-002, +0.00000000000E+000
+2.51250000000E+008, -9.61105898850E-002, +0.00000000000E+000
+2.51875000000E+008, -9.67465524634E-002, +0.00000000000E+000
+2.52500000000E+008, -9.61896214877E-002, +0.00000000000E+000
+2.53125000000E+008, -9.43132948974E-002, +0.00000000000E+000
+2.53750000000E+008, -9.48604794593E-002, +0.00000000000E+000
+2.54375000000E+008, -9.71128736101E-002, +0.00000000000E+000
+2.55000000000E+008, -9.76599817839E-002, +0.00000000000E+000
+2.55625000000E+008, -9.83139581620E-002, +0.00000000000E+000
+2.56250000000E+008, -9.65347452790E-002, +0.00000000000E+000
+2.56875000000E+008, -9.87379178171E-002, +0.00000000000E+000
+2.57500000000E+008, -9.83862282253E-002, +0.00000000000E+000
+2.58125000000E+008, -1.00537785889E-001, +0.00000000000E+000
+2.58750000000E+008, -1.00104367980E-001, +0.00000000000E+000
+2.59375000000E+008, -1.01611232446E-001, +0.00000000000E+000
+2.60000000000E+008, -9.99442055759E-002, +0.00000000000E+000
+2.60625000000E+008, -1.00972715252E-001, +0.00000000000E+000
+2.61250000000E+008, -9.98275740053E-002, +0.00000000000E+000
+2.61875000000E+008, -1.02310313384E-001, +0.00000000000E+000
+2.62500000000E+008, -1.01958268466E-001, +0.00000000000E+000
+2.63125000000E+008, -1.02421264797E-001, +0.00000000000E+000
+2.63750000000E+008, -1.04382904186E-001, +0.00000000000E+000
+2.64375000000E+008, -1.02517589163E-001, +0.00000000000E+000
+2.65000000000E+008, -1.04380480158E-001, +0.00000000000E+000
+2.65625000000E+008, -1.05621994182E-001, +0.00000000000E+000
+2.66250000000E+008, -1.06895678627E-001, +0.00000000000E+000
+2.66875000000E+008, -1.04460645747E-001, +0.00000000000E+000
+2.67500000000E+008, -1.05821154834E-001, +0.00000000000E+000
+2.68125000000E+008, -1.06430856442E-001, +0.00000000000E+000
+2.68750000000E+008, -1.07162443557E-001, +0.00000000000E+000
+2.69375000000E+008, -1.09411568811E-001, +0.00000000000E+000
+2.70000000000E+008, -1.07804735228E-001, +0.00000000000E+000
+2.70625000000E+008, -1.08936801145E-001, +0.00000000000E+000
+2.71250000000E+008, -1.08005383686E-001, +0.00000000000E+000
+2.71875000000E+008, -1.09284305854E-001, +0.00000000000E+000
+2.72500000000E+008, -1.10819064948E-001, +0.00000000000E+000
+2.73125000000E+008, -1.09245713732E-001, +0.00000000000E+000
+2.73750000000E+008, -1.10982822449E-001, +0.00000000000E+000
+2.74375000000E+008, -1.09442539203E-001, +0.00000000000E+000
+2.75000000000E+008, -1.11249986786E-001, +0.00000000000E+000
+2.75625000000E+008, -1.11818454203E-001, +0.00000000000E+000
+2.76250000000E+008, -1.10968419015E-001, +0.00000000000E+000
+2.76875000000E+008, -1.11483527874E-001, +0.00000000000E+000
+2.77500000000E+008, -1.12539124303E-001, +0.00000000000E+000
+2.78125000000E+008, -1.13643872362E-001, +0.00000000000E+000
+2.78750000000E+008, -1.13477715162E-001, +0.00000000000E+000
+2.79375000000E+008, -1.15180940273E-001, +0.00000000000E+000
+2.80000000000E+008, -1.16496981395E-001, +0.00000000000E+000
+2.80625000000E+008, -1.14726084995E-001, +0.00000000000E+000
+2.81250000000E+008, -1.17799869013E-001, +0.00000000000E+000
+2.81875000000E+008, -1.15655718421E-001, +0.00000000000E+000
+2.82500000000E+008, -1.15425876246E-001, +0.00000000000E+000
+2.83125000000E+008, -1.15465366874E-001, +0.00000000000E+000
+2.83750000000E+008, -1.17653763143E-001, +0.00000000000E+000
+2.84375000000E+008, -1.16718986141E-001, +0.00000000000E+000
+2.85000000000E+008, -1.17680786243E-001, +0.00000000000E+000
+2.85625000000E+008, -1.16973923327E-001, +0.00000000000E+000
+2.86250000000E+008, -1.19144335325E-001, +0.00000000000E+000
