"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -4.97245030775E+001, +0.00000000000E+000
+2.50625000000E+008, -4.96248849823E+001, +0.00000000000E+000
+2.51250000000E+008, -4.95029773153E+001, +0.00000000000E+000
+2.51875000000E+008, -4.96274900191E+001, +0.00000000000E+000
+2.52500000000E+008, -4.93999501798E+001, +0.00000000000E+000
+2.53125000000E+008, -4.97112313583E+001, +0.00000000000E+000
+2.53750000000E+008, -4.96525535621E+001, +0.00000000000E+000
+2.54375000000E+008, -4.96516646393E+001, +0.00000000000E+000
+2.55000000000E+008, -4.98817190915E+001, +0.00000000000E+000
+2.55625000000E+008, -4.97436208299E+001, +0.00000000000E+000
+2.56250000000E+008, -4.99506521595E+001, +0.00000000000E+000
+2.56875000000E+008, -4.99015129846E+001, +0.00000000000E+000
+2.57500000000E+008, -4.96103282586E+001, +0.00000000000E+000
+2.58125000000E+008, -4.95376472414E+001, +0.00000000000E+000
+2.58750000000E+008, -4.93403515699E+001, +0.00000000000E+000
+2.59375000000E+008, -4.95858566105E+001, +0.00000000000E+000
+2.60000000000E+008, -4.99853613204E+001, +0.00000000000E+000
+2.60625000000E+008, -4.98117764328E+001, +0.00000000000E+000
+2.61250000000E+008, -4.98229840281E+001, +0.00000000000E+000
+2.61875000000E+008, -4.97233432450E+001, +0.00000000000E+000
+2.62500000000E+008, -4.97923946629E+001, +0.00000000000E+000
+2.63125000000E+008, -4.98003076738E+001, +0.00000000000E+000
+2.63750000000E+008, -4.95976449975E+001, +0.00000000000E+000
+2.64375000000E+008, -4.94870389544E+001, +0.00000000000E+000
+2.65000000000E+008, -4.94568605862E+001, +0.00000000000E+000
+2.65625000000E+008, -4.99015267848E+001, +0.00000000000E+000
+2.66250000000E+008, -4.97771027523E+001, +0.00000000000E+000
+2.66875000000E+008, -4.96186485548E+001, +0.00000000000E+000
+2.67500000000E+008, -4.96872936924E+001, +0.00000000000E+000
+2.68125000000E+008, -4.96764430733E+001, +0.00000000000E+000
+2.68750000000E+008, -4.95666295816E+001, +0.00000000000E+000
+2.69375000000E+008, -4.96157230609E+001, +0.00000000000E+000
+2.70000000000E+008, -4.98374665239E+001, +0.00000000000E+000
+2.70625000000E+008, -4.96102324749E+001, +0.00000000000E+000
+2.71250000000E+008, -4.98228356101E+001, +0.00000000000E+000
+2.71875000000E+008, -4.96324128566E+001, +0.00000000000E+000
+2.72500000000E+008, -4.95541943699E+001, +0.00000000000E+000
+2.73125000000E+008, -4.95305074367E+001, +0.00000000000E+000
+2.73750000000E+008, -4.96138155170E+001, +0.00000000000E+000
+2.74375000000E+008, -4.97872137377E+001, +0.00000000000E+000
+2.75000000000E+008, -4.95298141280E+001, +0.00000000000E+000
+2.75625000000E+008, -4.98106942612E+001, +0.00000000000E+000
+2.76250000000E+008, -4.99328698053E+001, +0.00000000000E+000
+2.76875000000E+008, -4.94125369197E+001, +0.00000000000E+000
+2.77500000000E+008, -4.98042965366E+001, +0.00000000000E+000
+2.78125000000E+008, -4.96300743155E+001, +0.00000000000E+000
+2.78750000000E+008, -4.96925438581E+001, +0.00000000000E+000
+2.79375000000E+008, -4.97559283919E+001, +0.00000000000E+000
+2.80000000000E+008, -4.94429404836E+001, +0.00000000000E+000
+2.80625000000E+008, -4.97282359654E+001, +0.00000000000E+000
+2.81250000000E+008, -4.96356360583E+001, +0.00000000000E+000
+2.81875000000E+008, -4.95446676902E+001, +0.00000000000E+000
+2.82500000000E+008, -4.96076852699E+001, +0.00000000000E+000
+2.83125000000E+008, -4.95243385485E+001, +0.00000000000E+000
+2.83750000000E+008, -4.99213948053E+001, +0.00000000000E+000
+2.84375000000E+008, -4.96821224322E+001, +0.00000000000E+000
+2.85000000000E+008, -4.96094955008E+001, +0.00000000000E+000
+2.85625000000E+008, -4.93724762917E+001, +0.00000000000E+000
+2.86250000000E+008, -4.97190058706E+001, +0.00000000000E+000
+2.86875000000E+008, -4.96265737056E+001, +0.00000000000E+000
+2.87500000000E+008, -4.93159441517E+001, +0.00000000000E+000
+2.88125000000E+008, -4.97161953416E+001, +0.00000000000E+000
