"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -2.92333870694E+000, +0.00000000000E+000
+2.50625000000E+008, -2.79974470565E+000, +0.00000000000E+000
+2.51250000000E+008, -2.69281627641E+000, +0.00000000000E+000
+2.51875000000E+008, -2.59482650028E+000, +0.00000000000E+000
+2.52500000000E+008, -2.56129400799E+000, +0.00000000000E+000
+2.53125000000E+008, -2.38484391082E+000, +0.00000000000E+000
+2.53750000000E+008, -2.29483343850E+000, +0.00000000000E+000
+2.54375000000E+008, -2.19119833612E+000, +0.00000000000E+000
+2.55000000000E+008, -2.15173918205E+000, +0.00000000000E+000
+2.55625000000E+008, -2.03429602006E+000, +0.00000000000E+000
+2.56250000000E+008, -1.98925833461E+000, +0.00000000000E+000
+2.56875000000E+008, -1.92603009185E+000, +0.00000000000E+000
+2.57500000000E+008, -1.81258363184E+000, +0.00000000000E+000
+2.58125000000E+008, -1.64703552976E+000, +0.00000000000E+000
+2.58750000000E+008, -1.65817757605E+000, +0.00000000000E+000
+2.59375000000E+008, -1.53796544853E+000, +0.00000000000E+000
+2.60000000000E+008, -1.46204476897E+000, +0.00000000000E+000
+2.60625000000E+008, -1.37246834611E+000, +0.00000000000E+000
+2.61250000000E+008, -1.28421780217E+000, +0.00000000000E+000
+2.61875000000E+008, -1.21880016884E+000, +0.00000000000E+000
+2.62500000000E+008, -1.14453079739E+000, +0.00000000000E+000
+2.63125000000E+008, -9.80141719706E-001, +0.00000000000E+000
+2.63750000000E+008, -9.42101746654E-001, +0.00000000000E+000
+2.64375000000E+008, -8.45306214902E-001, +0.00000000000E+000
+2.65000000000E+008, -7.15835547894E-001, +0.00000000000E+000
+2.65625000000E+008, -6.43213309134E-001, +0.00000000000E+000
+2.66250000000E+008, -4.99157976215E-001, +0.00000000000E+000
+2.66875000000E+008, -4.48101251987E-001, +0.00000000000E+000
+2.67500000000E+008, -2.79738079578E-001, +0.00000000000E+000
+2.68125000000E+008, -3.06587228926E-001, +0.00000000000E+000
+2.68750000000E+008, -1.63812789785E-001, +0.00000000000E+000
+2.69375000000E+008, -7.81814569855E-002, +0.00000000000E+000
+2.70000000000E+008, -1.43324876271E-002, +0.00000000000E+000
+2.70625000000E+008, +1.42592565419E-001, +0.00000000000E+000
+2.71250000000E+008, +2.48487626622E-001, +0.00000000000E+000
+2.71875000000E+008, +3.12708378917E-001, +0.00000000000E+000
+2.72500000000E+008, +4.00254204852E-001, +0.00000000000E+000
+2.73125000000E+008, +4.54386336689E-001, +0.00000000000E+000
+2.73750000000E+008, +5.17054504124E-001, +0.00000000000E+000
+2.74375000000E+008, +6.73961636114E-001, +0.00000000000E+000
+2.75000000000E+008, +7.40424649881E-001, +0.00000000000E+000
+2.75625000000E+008, +8.49377091658E-001, +0.00000000000E+000
+2.76250000000E+008, +9.87634734701E-001, +0.00000000000E+000
+2.76875000000E+008, +1.02747366996E+000, +0.00000000000E+000
+2.77500000000E+008, +1.13719032520E+000, +0.00000000000E+000
+2.78125000000E+008, +1.21638110171E+000, +0.00000000000E+000
+2.78750000000E+008, +1.28291138453E+000, +0.00000000000E+000
+2.79375000000E+008, +1.44303470684E+000, +0.00000000000E+000
+2.80000000000E+008, +1.42953916019E+000, +0.00000000000E+000
+2.80625000000E+008, +1.62192216614E+000, +0.00000000000E+000
+2.81250000000E+008, +1.65679617862E+000, +0.00000000000E+000
+2.81875000000E+008, +1.71589501038E+000, +0.00000000000E+000
+2.82500000000E+008, +1.80683088772E+000, +0.00000000000E+000
+2.83125000000E+008, +1.99219623468E+000, +0.00000000000E+000
+2.83750000000E+008, +2.10361124341E+000, +0.00000000000E+000
+2.84375000000E+008, +2.10937966402E+000, +0.00000000000E+000
+2.85000000000E+008, +2.19210687860E+000, +0.00000000000E+000
+2.85625000000E+008, +2.38004274245E+000, +0.00000000000E+000
+2.86250000000E+008, +2.47236212849E+000, +0.00000000000E+000
+2.86875000000E+008, +2.54032558489E+000, +0.00000000000E+000
+2.87500000000E+008, +2.64403334367E+000, +0.00000000000E+000
+2.88125000000E+008, +2.70376617349E+000, +0.00000000000E+000
+2.88750000000E+008, +2.86833479963E+000, +0.00000000000E+000
+2.89375000000E+008, +2.88234601889E+000, +0.00000000000E+000
+2.90000000000E+008, +3.02883483847E+000, +0.00000000000E+000
+2.90625000000E+008, +3.09624769445E+000, +0.00000000000E+000
+2.91250000000E+008, +3.20108952283E+000, +0.00000000000E+000
+2.91875000000E+008, +3.30471095742E+000, +0.00000000000E+000
+2.92500000000E+008, +3.38413021360E+000, +0.00000000000E+000
+2.93125000000E+008, +3.51314613899E+000, +0.00000000000E+000
+2.93750000000E+008, +3.59806667207E+000, +0.00000000000E+000
+2.94375000000E+008, +3.63373620043E+000, +0.00000000000E+000
+2.95000000000E+008, +3.77780461048E+000, +0.00000000000E+000
+2.95625000000E+008, +3.86544631076E+000, +0.00000000000E+000
+2.96250000000E+008, +3.97438618259E+000, +0.00000000000E+000
+2.96875000000E+008, +4.02637124719E+000, +0.00000000000E+000
+2.97500000000E+008, +4.18757912956E+000, +0.00000000000E+000
+2.98125000000E+008, +4.26320893741E+000, +0.00000000000E+000
+2.98750000000E+008, +4.39613768352E+000, +0.00000000000E+000
+2.99375000000E+008, +4.40722638961E+000, +0.00000000000E+000
+3.00000000000E+008, +4.57979883651E+000, +0.00000000000E+000
+3.00625000000E+008, +4.68703676492E+000, +0.00000000000E+000
+3.01250000000E+008, +4.78764906680E+000, +0.00000000000E+000
+3.01875000000E+008, +4.84544188594E+000, +0.00000000000E+000
+3.02500000000E+008, +4.98009683728E+000, +0.00000000000E+000
+3.03125000000E+008, +5.00599973572E+000, +0.00000000000E+000
+3.03750000000E+008, +5.13260396026E+000, +0.00000000000E+000
+3.04375000000E+008, +5.21183024847E+000, +0.00000000000E+000
+3.05000000000E+008, +5.37399209946E+000, +0.00000000000E+000
+3.05625000000E+008, +5.46788437713E+000, +0.00000000000E+000
+3.06250000000E+008, +5.50482499059E+000, +0.00000000000E+000
+3.06875000000E+008, +5.63249583230E+000, +0.00000000000E+000
+3.07500000000E+008, +5.74887804649E+000, +0.00000000000E+000
+3.08125000000E+008, +5.86008186893E+000, +0.00000000000E+000
+3.08750000000E+008, +5.95037693433E+000, +0.00000000000E+000
+3.09375000000E+008, +6.03278435610E+000, +0.00000000000E+000
+3.10000000000E+008, +6.14940773764E+000, +0.00000000000E+000
+3.10625000000E+008, +6.22883309536E+000, +0.00000000000E+000
+3.11250000000E+008, +6.39502081887E+000, +0.00000000000E+000
+3.11875000000E+008, +6.43180589541E+000, +0.00000000000E+000
+3.12500000000E+008, +6.56038614342E+000, +0.00000000000E+000
+3.13125000000E+008, +6.61133170253E+000, +0.00000000000E+000
+3.13750000000E+008, +6.66364452728E+000, +0.00000000000E+000
+3.14375000000E+008, +6.81551507645E+000, +0.00000000000E+000
+3.15000000000E+008, +6.91086075670E+000, +0.00000000000E+000
+3.15625000000E+008, +7.03345867121E+000, +0.00000000000E+000
+3.16250000000E+008, +7.15275393399E+000, +0.00000000000E+000
+3.16875000000E+008, +7.22472137732E+000, +0.00000000000E+000
