"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+008, -5.66788112939E+000, +0.00000000000E+000
+2.50625000000E+008, -5.56277252320E+000, +0.00000000000E+000
+2.51250000000E+008, -5.67310223411E+000, +0.00000000000E+000
+2.51875000000E+008, -5.56577692667E+000, +0.00000000000E+000
+2.52500000000E+008, -5.66297688140E+000, +0.00000000000E+000
+2.53125000000E+008, -5.55445622287E+000, +0.00000000000E+000
+2.53750000000E+008, -5.57044066703E+000, +0.00000000000E+000
+2.54375000000E+008, -5.57735540605E+000, +0.00000000000E+000
+2.55000000000E+008, -5.66994907070E+000, +0.00000000000E+000
+2.55625000000E+008, -5.54494517964E+000, +0.00000000000E+000
+2.56250000000E+008, -5.59341280596E+000, +0.00000000000E+000
+2.56875000000E+008, -5.57206241431E+000, +0.00000000000E+000
+2.57500000000E+008, -5.61346665710E+000, +0.00000000000E+000
+2.58125000000E+008, -5.59048230126E+000, +0.00000000000E+000
+2.58750000000E+008, -5.57408401009E+000, +0.00000000000E+000
+2.59375000000E+008, -5.62987290031E+000, +0.00000000000E+000
+2.60000000000E+008, -5.64554385663E+000, +0.00000000000E+000
+2.60625000000E+008, -5.64802331786E+000, +0.00000000000E+000
+2.61250000000E+008, -5.61091368393E+000, +0.00000000000E+000
+2.61875000000E+008, -5.56655560797E+000, +0.00000000000E+000
+2.62500000000E+008, -5.62663195467E+000, +0.00000000000E+000
+2.63125000000E+008, -5.69205842912E+000, +0.00000000000E+000
+2.63750000000E+008, -5.72234048439E+000, +0.00000000000E+000
+2.64375000000E+008, -5.66401533256E+000, +0.00000000000E+000
+2.65000000000E+008, -5.63238997948E+000, +0.00000000000E+000
+2.65625000000E+008, -5.60384880634E+000, +0.00000000000E+000
+2.66250000000E+008, -5.71002773157E+000, +0.00000000000E+000
+2.66875000000E+008, -5.62510554080E+000, +0.00000000000E+000
+2.67500000000E+008, -5.63742652996E+000, +0.00000000000E+000
+2.68125000000E+008, -5.66138977385E+000, +0.00000000000E+000
+2.68750000000E+008, -5.60189177925E+000, +0.00000000000E+000
+2.69375000000E+008, -5.65765822065E+000, +0.00000000000E+000
+2.70000000000E+008, -5.71456650517E+000, +0.00000000000E+000
+2.70625000000E+008, -5.64584651259E+000, +0.00000000000E+000
+2.71250000000E+008, -5.63356128525E+000, +0.00000000000E+000
+2.71875000000E+008, -5.70083425299E+000, +0.00000000000E+000
+2.72500000000E+008, -5.68390619646E+000, +0.00000000000E+000
+2.73125000000E+008, -5.69533089473E+000, +0.00000000000E+000
+2.73750000000E+008, -5.77836795201E+000, +0.00000000000E+000
+2.74375000000E+008, -5.68270805830E+000, +0.00000000000E+000
+2.75000000000E+008, -5.64207604154E+000, +0.00000000000E+000
+2.75625000000E+008, -5.66053796553E+000, +0.00000000000E+000
+2.76250000000E+008, -5.68482308454E+000, +0.00000000000E+000
+2.76875000000E+008, -5.70878164578E+000, +0.00000000000E+000
+2.77500000000E+008, -5.76808739614E+000, +0.00000000000E+000
+2.78125000000E+008, -5.76797485235E+000, +0.00000000000E+000
+2.78750000000E+008, -5.72765267188E+000, +0.00000000000E+000
+2.79375000000E+008, -5.74263180637E+000, +0.00000000000E+000
+2.80000000000E+008, -5.76384122650E+000, +0.00000000000E+000
+2.80625000000E+008, -5.67666322392E+000, +0.00000000000E+000
+2.81250000000E+008, -5.78461032158E+000, +0.00000000000E+000
+2.81875000000E+008, -5.80916235380E+000, +0.00000000000E+000
+2.82500000000E+008, -5.74409542833E+000, +0.00000000000E+000
+2.83125000000E+008, -5.78961225440E+000, +0.00000000000E+000
+2.83750000000E+008, -5.74672645768E+000, +0.00000000000E+000
+2.84375000000E+008, -5.74767039143E+000, +0.00000000000E+000
+2.85000000000E+008, -5.78917540961E+000, +0.00000000000E+000
+2.85625000000E+008, -5.86091590377E+000, +0.00000000000E+000
+2.86250000000E+008, -5.81020067137E+000, +0.00000000000E+000
+2.86875000000E+008, -5.87363226411E+000, +0.00000000000E+000
+2.87500000000E+008, -5.78740894948E+000, +0.00000000000E+000
+2.88125000000E+008, -5.77538161824E+000, +0.00000000000E+000
+2.88750000000E+008, -5.90355946797E+000, +0.00000000000E+000
+2.89375000000E+008, -5.91854396854E+000, +0.00000000000E+000
+2.90000000000E+008, -5.86728940330E+000, +0.00000000000E+000
+2.90625000000E+008, -5.85524942315E+000, +0.00000000000E+000
+2.91250000000E+008, -5.83207047645E+000, +0.00000000000E+000
+2.91875000000E+008, -5.88324040526E+000, +0.00000000000E+000
+2.92500000000E+008, -5.89540845917E+000, +0.00000000000E+000
+2.93125000000E+008, -5.93888307175E+000, +0.00000000000E+000
+2.93750000000E+008, -5.99423122168E+000, +0.00000000000E+000
+2.94375000000E+008, -5.91402382530E+000, +0.00000000000E+000
+2.95000000000E+008, -5.95032691638E+000, +0.00000000000E+000
+2.95625000000E+008, -5.92495970543E+000, +0.00000000000E+000
+2.96250000000E+008, -5.95054931685E+000, +0.00000000000E+000
+2.96875000000E+008, -5.98332405931E+000, +0.00000000000E+000
+2.97500000000E+008, -5.94958785310E+000, +0.00000000000E+000
+2.98125000000E+008, -5.94330611532E+000, +0.00000000000E+000
+2.98750000000E+008, -6.07891657855E+000, +0.00000000000E+000
+2.99375000000E+008, -5.99647392579E+000, +0.00000000000E+000
+3.00000000000E+008, -6.04009650028E+000, +0.00000000000E+000
+3.00625000000E+008, -6.05968558539E+000, +0.00000000000E+000
+3.01250000000E+008, -5.98960812549E+000, +0.00000000000E+000
+3.01875000000E+008, -6.02225243945E+000, +0.00000000000E+000
+3.02500000000E+008, -6.09859210193E+000, +0.00000000000E+000
+3.03125000000E+008, -6.03540403112E+000, +0.00000000000E+000
+3.03750000000E+008, -6.09097005935E+000, +0.00000000000E+000
+3.04375000000E+008, -6.12566519328E+000, +0.00000000000E+000
+3.05000000000E+008, -6.15642221599E+000, +0.00000000000E+000
+3.05625000000E+008, -6.17091476055E+000, +0.00000000000E+000
+3.06250000000E+008, -6.15685179136E+000, +0.00000000000E+000
+3.06875000000E+008, -6.17479232473E+000, +0.00000000000E+000
+3.07500000000E+008, -6.24211078429E+000, +0.00000000000E+000
+3.08125000000E+008, -6.19693721687E+000, +0.00000000000E+000
+3.08750000000E+008, -6.21804339014E+000, +0.00000000000E+000
+3.09375000000E+008, -6.23416309345E+000, +0.00000000000E+000
+3.10000000000E+008, -6.26423220256E+000, +0.00000000000E+000
+3.10625000000E+008, -6.30279892520E+000, +0.00000000000E+000
+3.11250000000E+008, -6.31837983532E+000, +0.00000000000E+000
+3.11875000000E+008, -6.31188406819E+000, +0.00000000000E+000
+3.12500000000E+008, -6.35195505693E+000, +0.00000000000E+000
+3.13125000000E+008, -6.32509970584E+000, +0.00000000000E+000
+3.13750000000E+008, -6.38650799899E+000, +0.00000000000E+000
+3.14375000000E+008, -6.34975089430E+000, +0.00000000000E+000
+3.15000000000E+008, -6.47607131065E+000, +0.00000000000E+000
+3.15625000000E+008, -6.42209544305E+000, +0.00000000000E+000
+3.16250000000E+008, -6.44835009311E+000, +0.00000000000E+000
+3.16875000000E+008, -6.47926728568E+000, +0.00000000000E+000
+3.17500000000E+008, -6.50293694182E+000, +0.00000000000E+000
+3.18125000000E+008, -6.53563690359E+000, +0.00000000000E+000
+3.18750000000E+008, -6.52560625524E+000, +0.00000000000E+000
+3.19375000000E+008, -6.55154829434E+000, +0.00000000000E+000
+3.20000000000E+008, -6.54272477745E+000, +0.00000000000E+000
+3.20625000000E+008, -6.62702500192E+000, +0.00000000000E+000
+3.21250000000E+008, -6.61353694293E+000, +0.00000000000E+000
+3.21875000000E+008, -6.69574907092E+000, +0.00000000000E+000
+3.22500000000E+008, -6.62907053563E+000, +0.00000000000E+000
+3.23125000000E+008, -6.69739028364E+000, +0.00000000000E+000
+3.23750000000E+008, -6.74924632594E+000, +0.00000000000E+000
+3.24375000000E+008, -6.78271729872E+000, +0.00000000000E+000
+3.25000000000E+008, -6.80801006371E+000, +0.00000000000E+000
+3.25625000000E+008, -6.82070981515E+000, +0.00000000000E+000
+3.26250000000E+008, -6.87019312051E+000, +0.00000000000E+000
+3.26875000000E+008, -6.88272937768E+000, +0.00000000000E+000
+3.27500000000E+008, -6.90479002683E+000, +0.00000000000E+000
+3.28125000000E+008, -6.92304401258E+000, +0.00000000000E+000
+3.28750000000E+008, -7.02622376525E+000, +0.00000000000E+000
+3.29375000000E+008, -7.02846914521E+000, +0.00000000000E+000
+3.30000000000E+008, -7.05954290944E+000, +0.00000000000E+000
+3.30625000000E+008, -7.02244222189E+000, +0.00000000000E+000
+3.31250000000E+008, -7.09226947822E+000, +0.00000000000E+000
+3.31875000000E+008, -7.15794869418E+000, +0.00000000000E+000
+3.32500000000E+008, -7.20456813497E+000, +0.00000000000E+000
+3.33125000000E+008, -7.22029438175E+000, +0.00000000000E+000
+3.33750000000E+008, -7.26654056358E+000, +0.00000000000E+000
+3.34375000000E+008, -7.30717893461E+000, +0.00000000000E+000
+3.35000000000E+008, -7.35699590582E+000, +0.00000000000E+000
+3.35625000000E+008, -7.42307198886E+000, +0.00000000000E+000
+3.36250000000E+008, -7.46047724903E+000, +0.00000000000E+000
+3.36875000000E+008, -7.54740032708E+000, +0.00000000000E+000
+3.37500000000E+008, -7.51510996679E+000, +0.00000000000E+000
+3.38125000000E+008, -7.58986418814E+000, +0.00000000000E+000
+3.38750000000E+008, -7.64559490902E+000, +0.00000000000E+000
+3.39375000000E+008, -7.61602345691E+000, +0.00000000000E+000
+3.40000000000E+008, -7.70129389259E+000, +0.00000000000E+000
+3.40625000000E+008, -7.88435617973E+000, +0.00000000000E+000
+3.41250000000E+008, -7.83375859307E+000, +0.00000000000E+000
+3.41875000000E+008, -7.87323928708E+000, +0.00000000000E+000
+3.42500000000E+008, -7.86890476244E+000, +0.00000000000E+000
+3.43125000000E+008, -8.05255715872E+000, +0.00000000000E+000
+3.43750000000E+008, -8.08186485656E+000, +0.00000000000E+000
+3.44375000000E+008, -8.08952710140E+000, +0.00000000000E+000
+3.45000000000E+008, -8.28490128978E+000, +0.00000000000E+000
+3.45625000000E+008, -8.28450088748E+000, +0.00000000000E+000
+3.46250000000E+008, -8.37445673527E+000, +0.00000000000E+000
+3.46875000000E+008, -8.43364530673E+000, +0.00000000000E+000
+3.47500000000E+008, -8.47374434378E+000, +0.00000000000E+000
+3.48125000000E+008, -8.51650173770E+000, +0.00000000000E+000
+3.48750000000E+008, -8.60846796532E+000, +0.00000000000E+000
+3.49375000000E+008, -8.66311082924E+000, +0.00000000000E+000
+3.50000000000E+008, -8.80645283604E+000, +0.00000000000E+000
+3.50625000000E+008, -8.88459658335E+000, +0.00000000000E+000
+3.51250000000E+008, -8.97426238541E+000, +0.00000000000E+000
+3.51875000000E+008, -9.06444112973E+000, +0.00000000000E+000
+3.52500000000E+008, -9.12717296803E+000, +0.00000000000E+000
+3.53125000000E+008, -9.19796135531E+000, +0.00000000000E+000
+3.53750000000E+008, -9.35531181634E+000, +0.00000000000E+000
+3.54375000000E+008, -9.37566695864E+000, +0.00000000000E+000
+3.55000000000E+008, -9.50465266743E+000, +0.00000000000E+000
+3.55625000000E+008, -9.60151609910E+000, +0.00000000000E+000
+3.56250000000E+008, -9.65394521409E+000, +0.00000000000E+000
+3.56875000000E+008, -9.89578033740E+000, +0.00000000000E+000
+3.57500000000E+008, -9.88662545730E+000, +0.00000000000E+000
